adduct,mz,rt QE,name,Formula,
M-H,663.0859,3.8,NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE,C21H26N6O15P2,
M+e,664.0937,3.8,NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE+e,C21H26N6O15P2,
M+FA-H,709.0913,3.8,NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE+FA,C21H26N6O15P2,
M+Na-2H,685.0678,3.8,NICOTINAMIDE HYPOXANTHINE DINUCLEOTIDE+Na,C21H26N6O15P2,
M-H,138.0197,4.21,6-HYDROXYNICOTINATE,C6H5NO3,
M+FA-H,184.0251,4.21,6-HYDROXYNICOTINATE+FA,C6H5NO3,
M+Na-2H,160.0016,4.21,6-HYDROXYNICOTINATE+Na,C6H5NO3,
M+FA-H,248.114,4.55,ACETYL-DL-CARNITINE+FA,C9H17NO4,
,317.0568,4.55,MELANIN,C18H10N2O4,
M-H,227.0673,4.57,DEOXYURIDINE,C9H12N2O5,
M+Cl,263.044,4.57,DEOXYURIDINE+Cl,C9H12N2O5,
M+FA-H,273.0728,4.57,DEOXYURIDINE+FA,C9H12N2O5,
M-H,193.0613,4.59,4-AMINOHIPPURIC ACID,NH2C6H4C(O)NHCH2COOH,
M-H,243.0639,4.7,GLYCERALDEHYDE 3-PHOSPHATE DIETHYL ACETAL,C7H17O7P,
M-H,131.035,4.77,GLUTARATE,C5H8O4,
M+Na-2H,153.0169,4.77,GLUTARATE+Na,C5H8O4,
M-H,178.0874,4.82,"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE",C10H13NO2,
M-H,383.1143,4.86,S-(5'-ADENOSYL)-L-HOMOCYSTEINE,C14H20N6O5S,
M-H,197.0455,5.29,3-METHOXY-4-HYDROXYMANDELATE,C9H10O5,
M-H,182.0459,5.66,4-PYRIDOXATE,C8H9NO4,
M+FA-H,228.0514,5.66,4-PYRIDOXATE+FA,C8H9NO4,
M-H,266.0895,5.75,ADENOSINE,C10H13N5O4,
M+Cl,302.0662,5.75,ADENOSINE+Cl,C10H13N5O4,
M+FA-H,312.095,5.75,ADENOSINE+FA,C10H13N5O4,
M-H,129.0193,5.88,2-METHYLMALEATE,C5H6O4,
M+FA-H,175.0248,5.88,2-METHYLMALEATE+FA,C5H6O4,
M+Na-2H,151.0013,5.88,2-METHYLMALEATE+Na,C5H6O4,
M-H,129.0193,5.88,ITACONATE,C5H6O4,
M+FA-H,175.0248,5.88,ITACONATE+FA,C5H6O4,
M+Na-2H,151.0013,5.88,ITACONATE+Na,C5H6O4,
M-H,131.035,5.97,ETHYLMALONIC ACID,C5H8O4,
M+Na-2H,153.0169,5.97,ETHYLMALONIC ACID+Na,C5H8O4,
M+Cl,286.0712,6.01,2'-DEOXYADENOSINE+Cl,C10H13N5O3,
M+FA-H,296.1,6.01,2'-DEOXYADENOSINE+FA,C10H13N5O3,
M-H,267.0735,6.04,INOSINE,C10H12N4O5,
M+Cl,303.0502,6.04,INOSINE+Cl,C10H12N4O5,
M+FA-H,313.079,6.04,INOSINE+FA,C10H12N4O5,
M-H,260.114,6.05,SUCCINYLCARNITINE,C11H19NO6,
,563.0685,6.05,THYMIDINE-5'-DIPHOSPHO-ALPHA-D-GLUCOSE,C16H26N2O16P2,
M-H,328.0452,6.11,"3',5'-CYCLIC AMP",C10H12N5O6P,
M+FA-H,374.0507,6.11,"3',5'-CYCLIC AMP+FA",C10H12N5O6P,
M-H,328.0452,6.11,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE",C10H12N5O6P,
M+FA-H,374.0507,6.11,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE+FA",C10H12N5O6P,
,170.0913,6.12,L-PHENYLALANINE-13C6,*C6H5CH2CH(NH2)COOH,
M-H,361.163,6.12,THYROTROPIN RELEASING HORMONE,C16H22N6O4,
M+Cl,397.1397,6.12,THYROTROPIN RELEASING HORMONE+Cl,C16H22N6O4,
M+FA-H,407.1685,6.12,THYROTROPIN RELEASING HORMONE+FA,C16H22N6O4,
,207.0775,6.15,KYNURENINE,C10H12N2O3,
M-H,164.0717,6.15,L-PHENYLALANINE,C9H11NO2,
M+FA-H,227.0561,6.16,3-(4-HYDROXYPHENYL)LACTATE+FA,C9H10O4,
M-H,282.0844,6.16,GUANOSINE,C10H13N5O5,
M+Cl,318.0611,6.16,GUANOSINE+Cl,C10H13N5O5,
M+FA-H,328.0899,6.16,GUANOSINE+FA,C10H13N5O5,
M-H,344.0402,6.27,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",C10H12N5O7P,
M+FA-H,390.0456,6.27,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE+FA",C10H12N5O7P,
M+Na-2H,366.0221,6.27,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE+Na",C10H12N5O7P,
M-H,210.0772,6.3,3-METHOXY-L-TYROSINE,C10H13NO4,
M+Cl,246.0539,6.3,3-METHOXY-L-TYROSINE+Cl,C10H13NO4,
M+FA-H,256.0827,6.3,3-METHOXY-L-TYROSINE+FA,C10H13NO4,
M-H,266.0895,6.33,2'-DEOXYGUANOSINE,C10H13N5O4,
M+Cl,302.0662,6.33,2'-DEOXYGUANOSINE+Cl,C10H13N5O4,
M+FA-H,312.095,6.33,2'-DEOXYGUANOSINE+FA,C10H13N5O4,
M-H,159.0299,6.37,2-OXOADIPATE,C6H8O5,
M+FA-H,205.0354,6.37,2-OXOADIPATE+FA,C6H8O5,
,176.0387,6.45,FORMYL-L-METHIONINE,C6H11NO3S,
M-H,283.0684,6.52,XANTHOSINE,C10H12N4O6,
M+FA-H,329.0739,6.52,XANTHOSINE+FA,C10H12N4O6,
M-H,218.1034,6.59,D-PANTOTHENIC ACID,C9H17NO5,
M+Cl,254.0801,6.59,D-PANTOTHENIC ACID+Cl,C9H17NO5,
M-H,274.1296,6.59,GLUTARYLCARNITINE,C12H21NO6,
M+Cl,310.1063,6.59,GLUTARYLCARNITINE+Cl,C12H21NO6,
M-H,241.083,6.59,THYMIDINE,C10H14N2O5,
M+Cl,277.0597,6.59,THYMIDINE+Cl,C10H14N2O5,
M+FA-H,287.0885,6.59,THYMIDINE+FA,C10H14N2O5,
M-H,188.9862,6.6,"3,4-DIHYDROXYBENZENESULFONIC ACID",C6H6O5S,
M-H,250.0946,6.6,5'-DEOXYADENOSINE,C10H13N5O3,
M+Cl,286.0712,6.6,5'-DEOXYADENOSINE+Cl,C10H13N5O3,
M+FA-H,296.1,6.6,5'-DEOXYADENOSINE+FA,C10H13N5O3,
,164.0717,6.6,PHENYLALANINE,C9H11NO2,
,218.1034,6.61,PANTOTHENIC ACID,C9H17NO5,
M-H,149.0278,6.64,2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID,C5H10O3S,
M-H,216.1241,6.64,PROPIONYL-L-CARNITINE,C10H19NO4,
M+FA-H,262.1296,6.64,PROPIONYL-L-CARNITINE+FA,C10H19NO4,
M-H,152.0353,6.65,3-HYDROXYANTHRANILATE,C7H7NO3,
M+FA-H,262.1296,6.65,PROPANOYLCARNITINE+FA,C10H19NO4,
M-H,280.1051,6.68,1-METHYLADENOSINE,C11H15N5O4,
M+Cl,316.0818,6.68,1-METHYLADENOSINE+Cl,C11H15N5O4,
M+FA-H,326.1106,6.68,1-METHYLADENOSINE+FA,C11H15N5O4,
M-H,219.0775,6.69,5-HYDROXY-L-TRYPTOPHAN,C11H12N2O3,
M+Cl,255.0542,6.69,5-HYDROXY-L-TRYPTOPHAN+Cl,C11H12N2O3,
M+FA-H,265.083,6.69,5-HYDROXY-L-TRYPTOPHAN+FA,C11H12N2O3,
M-H,129.0557,6.75,3-METHYL-2-OXOVALERIC ACID,C6H10O3,
M-H,123.0452,6.78,4-METHYLCATECHOL,C7H8O2,
M-H,167.035,6.78,HOMOGENTISATE,C8H8O4,
M-H,162.023,6.87,N-ACETYL-L-CYSTEINE,C5H9NO3S,
,176.0388,6.91,N-FORMYL-L-METHIONINE ,C6H11NO3S,
M-H,176.0387,6.94,FORMYL-L-METHIONYL PEPTIDE,C6H11NO3S,
,151.0401,6.95,4-HYDROXYPHENYLACETATE/MANDELIC ACID,C8H8O3,
M-H,225.0517,6.97,3-NITRO-L-TYROSINE,C9H10N2O5,
M+Cl,261.0284,6.97,3-NITRO-L-TYROSINE+Cl,C9H10N2O5,
M+FA-H,271.0572,6.97,3-NITRO-L-TYROSINE+FA,C9H10N2O5,
M+Na-2H,247.0336,6.97,3-NITRO-L-TYROSINE+Na,C9H10N2O5,
M-H,172.9902,7.01,4-HYDROXYBENZENESULFONIC ACID,C6H6O4S,
M-H,145.0506,7.06,ADIPIC ACID,C6H10O4,
M+Na-2H,167.0326,7.06,ADIPIC ACID+Na,C6H10O4,
M-H,145.0506,7.13,3-METHYGLUTARIC ACID,C6H10O4,
M+Na-2H,167.0326,7.13,3-METHYGLUTARIC ACID+Na,C6H10O4,
M-H,288.1453,7.17,ADIPOYL-L-CARNITINE,C13H23NO6,
M+Cl,324.1219,7.17,ADIPOYL-L-CARNITINE+Cl,C13H23NO6,
M+Na-2H,310.1272,7.17,ADIPOYL-L-CARNITINE+Na,C13H23NO6,
M-H,145.0506,7.19,2-METHYLGLUTARIC ACID,C6H10O4,
M+Na-2H,167.0326,7.19,2-METHYLGLUTARIC ACID+Na,C6H10O4,
M-H,145.0506,7.19,MONO-METHYL GLUTARATE,C6H10O4,
M+Na-2H,167.0326,7.19,MONO-METHYL GLUTARATE+Na,C6H10O4,
M-H,188.9854,7.21,CATECHOL SULFATE,C6H6O5S,
M-H,153.0193,7.28,"3,4-DIHYDROXYBENZOATE",C7H6O4,
M+Cl,188.996,7.28,"3,4-DIHYDROXYBENZOATE+Cl",C7H6O4,
M-H,109.0295,7.29,CATECHOL,C6H6O2,
M-H,190.0543,7.31,N-ACETYL-DL-METHIONINE,C7H13NO3S,
M+Cl,226.031,7.31,N-ACETYL-DL-METHIONINE+Cl,C7H13NO3S,
M-H,129.0557,7.38,4-METHYL-2-OXO-PENTANOIC ACID,C6H10O3,
M+FA-H,175.0612,7.38,4-METHYL-2-OXO-PENTANOIC ACID+FA,C6H10O3,
M-H,129.0557,7.39,4-METHYL-2-OXOVALERIC ACID,C6H10O3,
,305.0666,7.4,GALLOCATECHIN,C15H14O7,
,179.058,7.4,THEOPHYLLINE,C7H8N4O2,
,194.0451,7.42,2-HYDROXYHIPPURIC ACID,C9H9NO4,
M-H,230.1398,7.42,ISOBUTYRYL-L-CARNITINE,C11H21NO4,
M+Cl,266.1165,7.42,ISOBUTYRYL-L-CARNITINE+Cl,C11H21NO4,
M+FA-H,276.1453,7.42,ISOBUTYRYL-L-CARNITINE+FA,C11H21NO4,
M-H,296.0823,7.43,5'-METHYLTHIOADENOSINE,C11H15N5O3S,
M+Cl,332.059,7.43,5'-METHYLTHIOADENOSINE+Cl,C11H15N5O3S,
M+FA-H,342.0878,7.43,5'-METHYLTHIOADENOSINE+FA,C11H15N5O3S,
,216.0968,7.45,L-PHENYLALANINE-13C6,*C6H5CH2CH(NH2)COOH,
M-H,110.0248,7.48,PYRROLE-2-CARBOXYLATE,C5H5NO2,
M-H,151.0401,7.5,4-HYDROXYPHENYLACETATE,C8H8O3,
M-H,151.0401,7.5,MANDELIC ACID,C8H8O3,
M-H,230.1398,7.51,BUTANOYLCARNITINE,C11H21NO4,
M+Cl,266.1165,7.51,BUTANOYLCARNITINE+Cl,C11H21NO4,
M+FA-H,276.1453,7.51,BUTANOYLCARNITINE+FA,C11H21NO4,
M-H,181.0506,7.55,3-(4-HYDROXYPHENYL)LACTATE,C9H10O4,
M+Cl,217.0273,7.55,3-(4-HYDROXYPHENYL)LACTATE+Cl,C9H10O4,
M-H-[-H2O],163.0401,7.55,3-(4-HYDROXYPHENYL)LACTATE-H2O,C9H10O4,
M-H,135.0452,7.55,PHENYLACETIC ACID,C8H8O2,
M+FA-H,181.0506,7.55,PHENYLACETIC ACID+FA,C8H8O2,
M-H,167.035,7.57,"3,4-DIHYDROXYPHENYLACETATE",C8H8O4,
M+Cl,203.0117,7.57,"3,4-DIHYDROXYPHENYLACETATE+Cl",C8H8O4,
M+Na-2H,189.0169,7.57,"3,4-DIHYDROXYPHENYLACETATE+Na",C8H8O4,
M-H,167.035,7.57,METHYL VANILLATE,C8H8O4,
M+Cl,203.0117,7.57,METHYL VANILLATE+Cl,C8H8O4,
M+Na-2H,189.0169,7.57,METHYL VANILLATE+Na,C8H8O4,
M-H,204.0302,7.57,XANTHURENIC ACID,C10H7NO4,
M-H,158.0611,7.59,INDOLE-3-ACETALDEHYDE,C10H9NO,
M-H,202.0986,7.59,L-TRYPTOPHANAMIDE,C11H13N3O,
,203.0826,7.6,TRYPTOPHAN,C11H12N2O2,
,214.1189,7.64,L-TRYPTOPHAN-13C11,(*C8H5NH)*CH2*CH(NH2)*COOH,
,250.0956,7.64,L-TRYPTOPHAN-13C11,(*C8H5NH)*CH2*CH(NH2)*COOH,
,260.1244,7.64,L-TRYPTOPHAN-13C11,(*C8H5NH)*CH2*CH(NH2)*COOH,
M-H,172.0404,7.66,2-QUINOLINECARBOXYLIC ACID,C10H7NO2,
,189.0039,7.7,OXALOSUCCINIC ACID,C6H6O7,
M-H,203.0826,7.71,L-TRYPTOPHAN,C11H12N2O2,
M-H,203.0826,7.71,L-TRYPTOPHAN,C11H12N2O2,
M+FA-H,249.0881,7.71,L-TRYPTOPHAN+FA,C11H12N2O2,
M+FA-H,249.0881,7.71,L-TRYPTOPHAN+FA,C11H12N2O2,
,224.0561,7.74,VANILLOYLGLYCINE,C10H11NO5,
M-H,103.0401,7.79,3-HYDROXYBUTANOIC ACID,C4H8O3,
M-H,188.0353,7.79,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,C10H7NO3,
M-H,442.1481,7.79,DIHYDROFOLATE,C19H21N7O6,
M-H,440.1324,7.79,FOLIC ACID,C19H19N7O6,
M+Na-2H,462.1143,7.79,FOLIC ACID+Na,C19H19N7O6,
M-2H,219.5626,7.79,FOLIC ACID2-,C19H19N7O6,
,206.1009,7.8,"TRYPTOPHAN-2,3,3-D3",C11H9D3N2O2,
M-H,131.0713,7.83,6-HYDROXYCAPROIC ACID,C6H12O3,
M-H,559.3465,7.83,DEFEROXAMIN,C25H48N6O8,
,305.0665,7.87,EPIGALLOCATECHIN,C15H14O7,
M-H,159.0661,7.88,3-METHYLADIPIC ACID,C7H12O4,
M-H,103.0401,7.89,3-HYDROXYBUTANOIC ACID,C4H8O3,
,315.1088,7.89,VANILLOLOSIDE,C14H20O8,
M-H,165.024,7.92,THIOPURINE S-METHYLETHER,C6H6N4S,
M+FA-H,211.0295,7.92,THIOPURINE S-METHYLETHER+FA,C6H6N4S,
M-H,288.1453,7.94,METHYLGLUTARYL-L-CARNITINE,C13H23NO6,
M-H,242.1398,7.94,TIGLYLCARNITINE,C12H21NO4,
M+Cl,278.1165,7.94,TIGLYLCARNITINE+Cl,C12H21NO4,
M+FA-H,288.1453,7.94,TIGLYLCARNITINE+FA,C12H21NO4,
,740.3829,7.95,"OXPE (18:4(OO)_14:2(COOH))/OXPE (20:3(OO)_12:3(COOH))/OXPE (22:6(OO)_10:0(COOH))/OXPE (15:1(KE, OH)_17:4(COOH))/OXPE (17:1 (KE,OH)_15:4(COOH))/OXPE (18:3(KE,OH)_14:2(COOH)/OXPE (20:2(KE,OH)_12:3(COOH))/OXPE (22:5(KE,OH)_10:0(COOH))/OXPE (15:1(COOH)_17:4(COOH))",,
M-H,159.0663,7.96,6-CARBOXYHEXANOATE,C7H12O4,
M+Cl,195.043,7.96,6-CARBOXYHEXANOATE+Cl,C7H12O4,
M+Na-2H,181.0482,7.96,6-CARBOXYHEXANOATE+Na,C7H12O4,
M-H,196.0914,8,CAFFEINE-D3,C8H7D3N4O2,
,277.1228,8,PANTETHEINE,C11H22N2O4S,
M-H,181.0589,8.02,"3,4-DIHYDROXYPHENYL PROPIONIC ACID",C9H10O4,
M-H,178.051,8.03,HIPPURATE,C9H9NO3,
M+Cl,214.0276,8.03,HIPPURATE+Cl,C9H9NO3,
M-H-[-H2O],93.0346,8.03,SORBATE-H2O,C6H8O2,
M-H,136.0404,8.05,4-AMINOBENZOATE,C7H7NO2,
M-H,108.0455,8.06,2-AMINOPHENOL,C6H7NO,
M-H,289.0716,8.09,CATECHIN,C15H14O6,
,646.26,8.09,OXPE (18:4(OOOO)_6:1(CHO)),,
M-H,244.1554,8.1,2-METHYLBUTYROYLCARNITINE,C12H23NO4,
M+Cl,280.1321,8.1,2-METHYLBUTYROYLCARNITINE+Cl,C12H23NO4,
M+FA-H,290.1609,8.1,2-METHYLBUTYROYLCARNITINE+FA,C12H23NO4,
,165.0585,8.1,HEXANESULFONIC ACID,C6H14O3S,
,79.9559,8.1,HEXANESULFONIC ACID-SULFATE,C6H14O3S,
,185.0275,8.1,XYLENESULFONATE,C8H10O3S,
M-H,375.131,8.12,RIBOFLAVIN,C17H20N4O6,
M+Cl,411.1077,8.12,RIBOFLAVIN+Cl,C17H20N4O6,
M+FA-H,421.1365,8.12,RIBOFLAVIN+FA,C17H20N4O6,
M+Cl,279.0576,8.18,BIOTIN,C10H16N2O3S,
M+FA-H,289.0864,8.18,BIOTIN,C10H16N2O3S,
M+Na-2H,265.0628,8.18,BIOTIN,C10H16N2O3S,
M-H,243.0809,8.18,BIOTIN,C10H16N2O3S,
M-H,212.0023,8.18,INDOXYL SULFATE,C8H7NO4S,
M-H,153.0193,8.22,"2,5-DIHYDROXYBENZOATE",C7H6O4,
M+Na-2H,175.0013,8.22,"2,5-DIHYDROXYBENZOATE+Na",C7H6O4,
M-H,190.051,8.22,5-HYDROXYINDOLEACETATE,C10H9NO3,
M-H,109.0295,8.22,HYDROQUINONE,C6H6O2,
M-H,244.1554,8.22,ISOVALERYL-L-CARNITINE,C12H23NO4,
M+Cl,280.1321,8.22,ISOVALERYL-L-CARNITINE+Cl,C12H23NO4,
M+FA-H,290.1609,8.22,ISOVALERYL-L-CARNITINE+FA,C12H23NO4,
M-H,145.0771,8.26,DIMETHYLBENZIMIDAZOLE,C9H10N2,
M+FA-H,191.0826,8.26,DIMETHYLBENZIMIDAZOLE+FA,C9H10N2,
M-H,146.0611,8.29,3-METHYL-2-OXINDOLE,C9H9NO,
M-H,190.051,8.29,5-HYDROXYINDOLEACETATE,C10H9NO3,
M+FA-H,236.0564,8.29,5-HYDROXYINDOLEACETATE+FA,C10H9NO3,
M-H,217.0983,8.29,N-ACETYLSEROTONIN,C12H14N2O2,
M+FA-H,263.1037,8.29,N-ACETYLSEROTONIN+FA,C12H14N2O2,
,519.1124,8.3,EUJAMBOLIN,C24H24O13,
,273.0077,8.31,FERULIC ACID SULFATE,C10H10O7S,
M-H,244.1554,8.31,VALERYL-L-CARNITINE,C12H23NO4,
M+Cl,280.1321,8.31,VALERYL-L-CARNITINE+Cl,C12H23NO4,
M+FA-H,290.1609,8.31,VALERYL-L-CARNITINE+FA,C12H23NO4,
M-H,431.8599,8.35,"3,5-DIIODO-L-TYROSINE",C9H9I2NO3,
M+Na-2H,453.8419,8.35,"3,5-DIIODO-L-TYROSINE+Na",C9H9I2NO3,
M-H,172.0979,8.35,N-ACETYL-L-LEUCINE,C8H15NO3,
M+Cl,208.0746,8.35,N-ACETYL-L-LEUCINE+Cl,C8H15NO3,
M-H,202.1098,8.36,N6-(DELTA2-ISOPENTENYL)-ADENINE,C10H13N5,
M+Cl,238.0865,8.36,N6-(DELTA2-ISOPENTENYL)-ADENINE+Cl,C10H13N5,
M+FA-H,248.1153,8.36,N6-(DELTA2-ISOPENTENYL)-ADENINE+FA,C10H13N5,
,289.0716,8.38,EPICATECHIN,C15H14O6,
M-H,163.0401,8.42,PHENYLPYRUVATE,C9H8O3,
M+FA-H,209.0455,8.42,PHENYLPYRUVATE+FA,C9H8O3,
M-H,151.0401,8.43,3-HYDROXYPHENYLACETATE,C8H8O3,
M+FA-H,197.0455,8.43,3-HYDROXYPHENYLACETATE+FA,C8H8O3,
,187.0059,8.44,P-CRESOL SULFATE,C7H8O4S,
M-H,179.035,8.46,CAFFEATE,C9H8O4,
M-H,181.0506,8.46,HOMOVANILLATE,C9H10O4,
,137.0608,8.46,HOMOVANILLATE-CO2,C9H10O4,
M-H,137.0244,8.49,4-HYDROXYBENZOATE,C7H6O3,
M+FA-H,183.0299,8.49,4-HYDROXYBENZOATE+FA,C7H6O3,
M-H,137.0244,8.49,SALICYLATE,C7H6O3,
M+FA-H,183.0299,8.49,SALICYLATE+FA,C7H6O3,
M-H,153.0193,8.5,"2,3-DIHYDROXYBENZOATE",C7H6O4,
M+Na-2H,175.0013,8.5,"2,3-DIHYDROXYBENZOATE+Na",C7H6O4,
M-H,213.1245,8.51,DETHIOBIOTIN,C10H18N2O3,
M+Cl,249.1011,8.51,DETHIOBIOTIN+Cl,C10H18N2O3,
M+FA-H,259.1299,8.51,DETHIOBIOTIN+FA,C10H18N2O3,
M+Na-2H,235.1064,8.51,DETHIOBIOTIN+Na,C10H18N2O3,
,443.0985,8.59,ENTEROCIN,C22H20O10,
,158.0097,8.6,N-BOC-L-ASPARTIC ACID,C9H15NO6,
,232.0827,8.6,N-BOC-L-ASPARTIC ACID,C9H15NO6,
,457.0788,8.63,GALLOCATECHIN GALLATE,C22H18O11,
M-H,151.0401,8.65,2-HYDROXYPHENYLACETIC ACID,C8H8O3,
M+Na-2H,173.022,8.65,2-HYDROXYPHENYLACETIC ACID+Na,C8H8O3,
M-H,121.0295,8.66,4-HYDROXYBENZALDEHYDE,C7H6O2,
M-H,173.0819,8.68,SUBERIC ACID,C8H14O4,
M+Na-2H,195.0639,8.68,SUBERIC ACID+Na,C8H14O4,
M-H,136.0404,8.73,4-AMINOBENZOATE,C7H7NO2,
M-H,136.0404,8.73,ANTHRANILATE,C7H7NO2,
M-H,173.072,8.82,INDOLE-3-ACETAMIDE,C10H10N2O,
M+FA-H,206.0823,8.88,INDOLE-3-ETHANOL,C10H11NO,
M-H,206.0823,8.89,N-ACETYL-L-PHENYLALANINE,C11H13NO3,
M+Cl,242.0589,8.89,N-ACETYL-L-PHENYLALANINE+Cl,C11H13NO3,
M-H,136.0404,8.9,SALICYLAMIDE,C7H7NO2,
M-H,121.0295,8.96,3-HYDROXYBENZALDEHYDE,C7H6O2,
M+FA-H,167.035,8.96,3-HYDROXYBENZALDEHYDE+FA,C7H6O2,
,114.0198,9,N-BOC-L-ALANINE,C8H15NO4,
,188.0923,9,N-BOC-L-ALANINE,C8H15NO4,
,151.0406,9.05,VANILLIN,C8H8O3,
M-H,258.1711,9.08,HEXANOYLCARNITINE,C13H25NO4,
M+Cl,294.1478,9.08,HEXANOYLCARNITINE+Cl,C13H25NO4,
M+FA-H,304.1766,9.08,HEXANOYLCARNITINE+FA,C13H25NO4,
,441.0826,9.11,EPICATECHIN GALLATE,C22H18O10,
,179.0354,9.27,MONOMETHYL PHTHALATE (MMP),C9H8O4,
M-H,245.0932,9.31,N-ACETYL-D-TRYPTOPHAN,C13H14N2O3,
M+Cl,281.0698,9.31,N-ACETYL-D-TRYPTOPHAN+Cl,C13H14N2O3,
M-H,179.0347,9.33,CAFFEIC ACID,C9H8O4,
M-H,187.0976,9.34,AZELAIC ACID,C9H16O4,
M+Cl,223.0743,9.34,AZELAIC ACID+Cl,C9H16O4,
M+Na-2H,209.0795,9.34,AZELAIC ACID+Na,C9H16O4,
M-H,193.0506,9.35,FERULATE,C10H10O4,
,303.0509,9.35,TAXIFOLIN,C15H12O7,
M-H,514.2844,9.38,TAUROMURICHOLIC ACID,C26H45NO7S,
M-H,514.2844,9.4,TAUROMURICHOLIC ACID,C26H45NO7S,
M-H,165.0557,9.41,3-(2-HYDROXYPHENYL)PROPANOATE,C9H10O3,
M+Na-2H,187.0377,9.41,3-(2-HYDROXYPHENYL)PROPANOATE+Na,C9H10O3,
M-H-[-H2O],147.0452,9.41,3-(2-HYDROXYPHENYL)PROPANOATE-H2O,C9H10O3,
M-H,241.0731,9.41,LUMICHROME,C12H10N4O2,
M-H,390.1704,9.42,S-HEXYL-GLUTATHIONE,C16H29N3O6S,
M+Na-2H,412.1524,9.42,S-HEXYL-GLUTATHIONE+Na,C16H29N3O6S,
M-H,174.0561,9.47,INDOLE-3-ACETATE,C10H9NO2,
M-H,174.0561,9.47,INDOLE-3-ACETIC ACID,C10H9NO2,
M+FA-H,220.0615,9.47,INDOLE-3-ACETIC ACID+FA,C10H9NO2,
M-H,514.2844,9.52,TAUROMURICHOLIC ACID,C26H45NO7S,
