adduct,mz,rt QE,name,Formula,
,127.0491,9.56,BENZOIC ACID-13C6,*C6H5COOH,
M-H,359.0772,9.64,ROSMARINIC ACID,C18H16O8,
M+Cl,395.0539,9.64,ROSMARINIC ACID+Cl,C18H16O8,
M+Na-2H,381.0592,9.64,ROSMARINIC ACID+Na,C18H16O8,
M+Cl,401.21,9.65,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE+Cl",C21H34O5,
M+FA-H,411.2388,9.65,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE+FA",C21H34O5,
M-H,121.0295,9.66,BENZOATE,C7H6O2,
,669.3963,9.67,LYSOPI (23:0),,
M-H,523.8861,9.76,"3,5-DIIODO-L-THYRONINE",C15H13I2NO4,
M+FA-H,569.8916,9.76,"3,5-DIIODO-L-THYRONINE+FA",C15H13I2NO4,
M-H,202.051,9.8,INDOLE-3-PYRUVIC ACID,C11H9NO3,
,201.113,9.89,3-TERT-BUTYLADIPIC ACID,C10H18O4,
,193.051,9.91,MONOETHYL PHTHALATE (MEP),C10H10O4,
M-H,514.2844,9.94,TAUROCHOLIC ACID (TCA),C26H45NO7S,
,582.2718,9.94,TAUROCHOLIC ACID (TCA),C26H45NO7S,
,141.049,9.95,SALICYLIC ACID-D4,C7H2D4O3,
M-H,341.19672,9.97,"2,3-DINOR-6-KETO PGF1 (NA)",,
,349.2021,9.99,RESOLVIN E1,C20H30O5 ,
M-H,498.2895,9.99,TAUROURSODEOXYCHOLIC ACID (T-UDCA),C26H45NO6S,
,566.2771,9.99,TAUROURSODEOXYCHOLIC ACID (T-UDCA),C26H45NO6S,
M-H,150.0014,10,"1,2-BENZISOTHIAZOLIN-3-ONE",C7H5NOS,
M-H,187.134,10,10-HYDROXYDECANOATE,C10H20O3,
M-H,361.202,10.01,CORTISOL,C21H30O5,
M+Cl,397.1787,10.01,CORTISOL+Cl,C21H30O5,
M+FA-H,407.2075,10.01,CORTISOL+FA,C21H30O5,
M-H,151.0401,10.03,"2',4'-DIHYDROXYACETOPHENONE",C8H8O3,
M-H,151.0401,10.03,3-HYDROXYPHENYLACETATE,C8H8O3,
M-H,151.0401,10.03,RESORCINOL MONOACETATE,C8H8O3,
M+Na-2H,219.0275,10.04,3-METHOXY-4-HYDROXYMANDELATE+Na,C9H10O5,
M-H,369.22794,10.04,6-KETO PROSTAGLANDIN F1,C20H34O6,
M-H,137.0244,10.07,3-HYDROXYBENZOATE,C7H6O3,
M+Na-2H,159.0064,10.07,3-HYDROXYBENZOATE+Na,C7H6O3,
M+Na-2H,205.0118,10.07,DIHYDROXYMANDELIC ACID,C8H8O5,
,206.0461,10.08,BOC-L-TYROSINE,C14H19NO5,
,280.1185,10.08,BOC-L-TYROSINE,C14H19NO5,
M+Cl,401.21,10.11,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE+Cl",C21H34O5,
M+FA-H,411.2388,10.11,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE+FA",C21H34O5,
M-H,103.0397,10.14,4-HYDROXYBUTYRIC ACID (GHB),C4H8O3,
M-H,359.1864,10.19,CORTISONE,C21H28O5,
M+Cl,395.1631,10.19,CORTISONE+Cl,C21H28O5,
M+FA-H,405.1919,10.19,CORTISONE+FA,C21H28O5,
M-H-[-H2O],341.1758,10.19,CORTISONE-H2O,C21H28O5,
M-H,286.2024,10.22,OCTANOYL-L-CARNITINE,C15H29NO4,
M-H,284.1867,10.22,OCTENOYL-L-CARNITINE,C15H27NO4,
M+Cl,320.1634,10.22,OCTENOYL-L-CARNITINE+Cl,C15H27NO4,
M+FA-H,330.1922,10.22,OCTENOYL-L-CARNITINE+FA,C15H27NO4,
M-H,341.19672,10.35,"2,3-DINOR TXB2",,
M-H,407.2803,10.38,URSOCHOLIC ACID,C24H40O5,
M+Cl,443.257,10.38,URSOCHOLIC ACID+Cl,C24H40O5,
M+FA-H,453.2858,10.38,URSOCHOLIC ACID+FA,C24H40O5,
M-H,649.7828,10.48,"3,3',5'-TRIIODOTHYRONINE",C15H12I3NO4,
,929.612,10.5,DIMER OF GLYCOCHOLIC ACID (GCA),C26H43NO6,
M-H,286.2024,10.51,OCTANOYL-L-CARNITINE,C15H29NO4,
M+Cl,322.1791,10.51,OCTANOYL-L-CARNITINE+Cl,C15H29NO4,
M+FA-H,332.2079,10.51,OCTANOYL-L-CARNITINE+FA,C15H29NO4,
M-H,339.18106,10.52,"11-DEHYDRO-2,3-DINOR TXB2",,
M-H,464.3018,10.55,GLYCOCHOLIC ACID,C26H43NO6,
,535.289,10.55,GLYCOCHOLIC ACID (GCA),C26H43NO6,
M+Cl,500.2784,10.55,GLYCOCHOLIC ACID+Cl,C26H43NO6,
M-H,498.2895,10.55,TAUROCHENODESOXYCHOLIC ACID (T-CDCA),C26H45NO6S,
,498.2896,10.55,TAUROCHENODESOXYCHOLIC ACID (T-CDCA),C26H45NO6S,
,566.272,10.55,TAUROCHENODESOXYCHOLIC ACID (T-CDCA),C26H45NO6S,
M-H,369.22794,10.55,THROMBOXANE B2 ,C20H34O6,
M+Cl,500.2784,10.56,GLYCOCHOLATE,C26H43NO6,
M-H,464.3018,10.56,GLYCOCHOLATE,C26H43NO6,
M-H,353.23312,10.58,15-KETO PROSTAGLANDIN F1,,
,215.0117,10.59,3-(4-HYDROXYPHENYL)PYRUVATE,C9H8O4,
,367.1579,10.6,TESTOSTERONE SULFATE,,
M+FA-H,189.1132,10.63,CAPRYLIC ACID,C8H16O2,
,897.6218,10.67,DIMER OF GLYCOURSODEOXYCHOLIC ACID (G-UDCA),C26H43NO5,
,516.294,10.67,GLYCOURSODEOXYCHOLIC ACID (G-UDCA),C26H43NO5,
M-H,498.2895,10.67,TAURODEOXYCHOLIC ACID (T-DCA),C26H45NO6S,
,566.2771,10.67,TAURODEOXYCHOLIC ACID (T-DCA),C26H45NO6S,
Possible fragment of Glutarylcarnitine; M/Z 562.2987,562.2987,10.72,GLUTARYLCARNITINE-sf,C12H21NO6,
M-H,448.3068,10.72,GLYCOHYODEOXCHOLIC ACID,C26H43NO5,
M+Cl,484.2835,10.72,GLYCOHYODEOXCHOLIC ACID+Cl,C26H43NO5,
M-H,355.24881,10.73,PROSTAGLANDIN F1,,
M-H,147.0452,10.73,TRANS-CINNAMATE,C9H8O2,
M+Na-2H,486.2837,10.74,GLYCOCHOLIC ACID+Na,C26H43NO6,
M-H,448.3068,10.74,GLYCOURSODEOXYCHOLIC ACID (G-UDCA),C26H43NO5,
M+Cl,484.2835,10.74,GLYCOURSODEOXYCHOLIC ACID (G-UDCA)+Cl,C26H43NO5,
M+Cl,381.1838,10.77,CORTICOSTERONE+Cl,C21H30O4,
M+FA-H,391.2126,10.77,CORTICOSTERONE+FA,C21H30O4,
M-H,407.2803,10.85,ALPHA-MURICHOLIC ACID,C24H40O5,
M+Cl,443.257,10.85,ALPHA-MURICHOLIC ACID+Cl,C24H40O5,
M+FA-H,453.2858,10.85,ALPHA-MURICHOLIC ACID+FA,C24H40O5,
M-H,405.2646,10.88,7-KETODEOXYCHOLIC ACID,C24H38O5,
M+Cl,441.2413,10.88,7-KETODEOXYCHOLIC ACID+Cl,C24H38O5,
M+FA-H,451.2701,10.88,7-KETODEOXYCHOLIC ACID+FA,C24H38O5,
M-H,405.2646,10.9,12-KETOCHENODEOXYCHOLIC ACID,C24H38O5,
M+Cl,441.2413,10.9,12-KETOCHENODEOXYCHOLIC ACID+Cl,C24H38O5,
M+FA-H,451.2701,10.9,12-KETOCHENODEOXYCHOLIC ACID+FA,C24H38O5,
,156.0669,10.9,N-BOC-L-TERT-LEUCINE,C11H21NO4,
,230.1393,10.9,N-BOC-L-TERT-LEUCINE,C11H21NO4,
,375.2177,10.93,RESOLVIN D3,C22H32O5,
M+FA-H,391.2126,10.99,REICHSTEINS SUBSTANCE S,C21H30O4,
M+Cl,381.1838,10.99,REICHSTEINS SUBSTANCE S+Cl,C21H30O4,
M-H,345.2071,10.99,REICHSTEINS SUBSTANCE S+FA,C21H30O4,
M-H,407.2803,11.03,BETA-MURICHOLIC ACID,C24H40O5,
M+Cl,443.257,11.03,BETA-MURICHOLIC ACID+Cl,C24H40O5,
M+FA-H,453.2858,11.03,BETA-MURICHOLIC ACID+FA,C24H40O5,
,183.0045,11.05,"2,4-DINITROPHENOL",C6H4N2O5,
,375.2177,11.06,RESOLVIN D2,C22H32O5,
M-H,351.2175,11.08,15-KETO PROSTAGLANDIN F2,,
M-H,152.035,11.09,3-AMINOSALICYLIC ACID,C7H7NO3,
M-H,401.2333,11.13,DEHYDROCHOLIC ACID,C24H34O5,
M+Cl,437.21,11.13,DEHYDROCHOLIC ACID+Cl,C24H34O5,
M+FA-H,447.2388,11.13,DEHYDROCHOLIC ACID+FA,C24H34O5,
M-H,407.2803,11.15,GAMA-MURICHOLIC ACID,C24H40O5,
M+Cl,443.257,11.15,GAMA-MURICHOLIC ACID+Cl,C24H40O5,
M+FA-H,453.2858,11.15,GAMA-MURICHOLIC ACID+FA,C24H40O5,
M-H,407.2803,11.17,ALLOCHOLIC ACID,C24H40O5,
M+Cl,443.257,11.17,ALLOCHOLIC ACID+Cl,C24H40O5,
M+FA-H,453.2858,11.17,ALLOCHOLIC ACID+FA,C24H40O5,
M-H,353.23312,11.18,11-PROSTAGLANDIN F2,,
,815.5693,11.2,DIMER OF CHOLIC ACID,C24H40O5,
,837.5515,11.2,DIMER OF CHOLIC ACID,C24H40O5,
M-H,215.1653,11.22,OMEGA-HYDROXYDODECANOIC ACID,C12H24O3,
M+Cl,251.1419,11.22,OMEGA-HYDROXYDODECANOIC ACID+Cl,C12H24O3,
M-H,135.0452,11.22,PHENYL ACETATE,C8H8O2,
M+Cl,443.257,11.26,CHOLATE,C24H40O5,
M+FA-H,453.2858,11.26,CHOLATE,C24H40O5,
M-H,407.2803,11.26,CHOLATE,C24H40O5,
M-H,407.2803,11.26,CHOLIC ACID,C24H40O5,
M+Cl,443.257,11.26,CHOLIC ACID+Cl,C24H40O5,
M+FA-H,453.2858,11.26,CHOLIC ACID+FA,C24H40O5,
,285.0403,11.32,KAEMPFEROL,C15H10O6,
M-H,403.2126,11.34,CORTISOL 21-ACETATE,C23H32O6,
M+Cl,439.1893,11.34,CORTISOL 21-ACETATE+Cl,C23H32O6,
M+FA-H,449.2181,11.34,CORTISOL 21-ACETATE+FA,C23H32O6,
M-H,187.1338,11.35,3-HYDROXYDECANOIC ACID,C10H20O3,
,448.3074,11.35,CHENODEOXYCHOLYGLYCINE (GCDCA),C26H43NO6,
,516.295,11.35,CHENODEOXYCHOLYGLYCINE (GCDCA),C26H43NO7,
,897.6232,11.35,DIMER OF CHENODEOXYCHOLYGLYCINE (GCDCA),C26H43NO8,
,375.2176,11.35,RESOLVIN D1/ 17(R) RESOLVIN D1,C22H32O5,
M-H,349.20184,11.38,15-KETO PROSTAGLANDIN E2 ,,
,221.0824,11.38,MONOBUTYL PHTHALATE (MBP),C12H14O4,
M-H,448.3068,11.4,GLYCOCHENODEOXYCHOLIC ACID,C26H43NO5,
M+Cl,484.2835,11.4,GLYCOCHENODEOXYCHOLIC ACID+Cl,C26H43NO5,
M-H,367.21231,11.42,11-DEHYDRO TXB2,,
M-H,353.23312,11.42,"13,14-DIHYDRO-15-KETO PROSTAGLANDIN F2",,
,221.0817,11.45,MONOBUTYL PHTHALATE,C12H14O4,
,166.0863,11.49,BOC-D-PHENYLALANINE ,C14H19NO4,
M-H,391.2854,11.5,MURIDEOXYCHOLIC ACID,C24H40O4,
M+Cl,427.2621,11.5,MURIDEOXYCHOLIC ACID+Cl,C24H40O4,
M+FA-H,437.2909,11.5,MURIDEOXYCHOLIC ACID+FA,C24H40O4,
,229.0621,11.52,N-BOC-L-TRYPTOPHAN,C16H20N2O4,
,303.1345,11.52,N-BOC-L-TRYPTOPHAN,C16H20N2O4,
M-H,482.2946,11.52,TAUROLITHOCHOLIC ACID (T-LCA),C26H45NO5S,
M-H,367.21228,11.53,11-DEHYDRO THROMBOXANE B2 ,C20H32O6,
,783.5797,11.55,DIMER OF URSODEOXYCHOLIC ACID (UDCA),C24H40O4,
,805.5613,11.55,DIMER OF URSODEOXYCHOLIC ACID (UDCA),C24H40O4,
M-H,448.3068,11.55,GLYCODEOXYCHOLIC ACID (GDCA),C26H43NO5,
,516.294,11.55,GLYCODEOXYCHOLIC ACID (GDCA),C26H43NO5,
,550.2818,11.55,TAUROLITHOCHOLIC ACID (T-LCA),C26H45NO5S,
,583.25566,11.6,BILLIRUBIN,,
M-H,351.2175,11.61,"13,14-DIHYDRO-15-KETO PROSTAGLANDIN E2 ",,
M-H-[-H2O],165.0557,11.62,4-HYDROXY-3-METHOXYPHENYLGLYCOL-H2O,C9H12O4,
M-H,391.2854,11.64,HYODEOXYCHOLIC ACID,C24H40O4,
M+Cl,427.2621,11.64,HYODEOXYCHOLIC ACID+Cl,C24H40O4,
M+FA-H,437.2909,11.64,HYODEOXYCHOLIC ACID+FA,C24H40O4,
M-H,482.2946,11.64,TAUROLITHOCHOLATE,C26H45NO5S,
M-H,358.2599,11.65,3-HYDROXYDODECANOYL CARNITINE,C19H37NO5,
M+Cl,394.2366,11.65,3-HYDROXYDODECANOYL CARNITINE+Cl,C19H37NO5,
M+FA-H,404.2654,11.65,3-HYDROXYDODECANOYL CARNITINE+FA,C19H37NO5,
M-H,391.2854,11.65,URSODEOXYCHOLIC ACID (UDCA),C24H40O4,
,459.2732,11.65,URSODEOXYCHOLIC ACID (UDCA),C24H40O4,
M+Cl,427.2621,11.65,URSODEOXYCHOLIC ACID (UDCA)+Cl,C24H40O4,
M+FA-H,437.2909,11.65,URSODEOXYCHOLIC ACID (UDCA)+FA,C24H40O4,
M+FA-H,269.1394,11.67,METHYL JASMONATE+FA,C13H20O3,
M-H-[-H2O],165.0557,11.73,4-HYDROXY-3-METHOXYPHENYLGLYCOL-H2O,C9H12O4,
,255.0669,11.75,MONOBENZYL PHTHALATE (MBZP), C15H12O4 ,
M+FA-H,217.1445,11.79,DECANOATE,C10H20O2,
M-H,171.1391,11.79,DECANOATE,C10H20O2,
M-H,314.2337,11.79,DECANOYL-L-CARNITINE,C17H33NO4,
M+Cl,350.2104,11.79,DECANOYL-L-CARNITINE+Cl,C17H33NO4,
M+FA-H,360.2392,11.79,DECANOYL-L-CARNITINE+FA,C17H33NO4,
,581.24,11.8,BILIVERDIN,,
,502.2916,11.9,LYSOPE (20:3),C25H46NO7P,
M-H,357.2175,11.91,"13,14-DIHYDRO-15-KETO PROSTAGLANDIN D2 ",,
,151.134,11.92,OCTANOIC ACID-13C8,*CH3(*CH2)6*COOH,
M-H,377.2697,11.99,NORDEOXYCHOLIC ACID,C23H38O4,
M+Cl,413.2464,11.99,NORDEOXYCHOLIC ACID+Cl,C23H38O4,
M+FA-H,423.2752,11.99,NORDEOXYCHOLIC ACID+FA,C23H38O4,
M-H,389.2697,12.04,7-KETOCHENODEOXYCHOLIC ACID,C24H38O4,
M+Cl,425.2464,12.04,7-KETOCHENODEOXYCHOLIC ACID+Cl,C24H38O4,
M+FA-H,435.2752,12.04,7-KETOCHENODEOXYCHOLIC ACID+FA,C24H38O4,
,359.2229,12.24,RESOLVIN D5,C22H32O4,
,459.2732,12.3,CHENODEOXYCHOLIC ACID (CDCA),C24H40O4,
,783.5788,12.3,DIMER OF CHENODEOXYCHOLIC ACID (CDCA),C24H40O4,
,805.5608,12.3,DIMER OF CHENODEOXYCHOLIC ACID (CDCA),C24H40O4,
M-H,304.192,12.39,CAPSAICIN,C18H27NO3,
M-H,449.3272,12.39,COPROCHOLIC ACID,C27H46O5,
M-H,391.2854,12.4,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE",C24H40O4,
M+Cl,427.2621,12.4,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE+CL",C24H40O4,
M+FA-H,437.2909,12.4,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE+FA",C24H40O4,
M-H,391.2854,12.4,CHENODEOXYCHOLIC ACID (CDCA),C24H40O4,
M+Cl,427.2621,12.4,CHENODEOXYCHOLIC ACID (CDCA)+Cl,C24H40O4,
M+FA-H,437.2909,12.4,CHENODEOXYCHOLIC ACID (CDCA)+FA,C24H40O4,
,478.2935,12.4,LYSOPE (18:1),C23H46NO7P,
,378.2409,12.4,SPHINGOSINE-1-PHOSPHATE,,
,783.5797,12.42,DIMER OF DEOXYCHOLIC ACID (DCA),C24H40O4,
,805.5613,12.42,DIMER OF DEOXYCHOLIC ACID (DCA),C24H40O4,
M-H,449.3272,12.45,COPROCHOLIC ACID,C27H46O5,
M+Cl,485.3039,12.45,COPROCHOLIC ACID+Cl,C27H46O5,
M+FA-H,495.3327,12.45,COPROCHOLIC ACID+FA,C27H46O5,
M-H,391.2854,12.51,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE",C24H40O4,
M+Cl,427.2621,12.51,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE+Cl",C24H40O4,
M+FA-H,437.2909,12.51,"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE+FA",C24H40O4,
M+K-2H,439.2984,12.51,7-HYDROXYCHOLESTEROL+K,C27H46O2,
M-H,391.2854,12.51,CHENODEOXYCHOLATE,C24H40O4,
M+Cl,427.2621,12.51,CHENODEOXYCHOLATE+Cl,C24H40O4,
M+FA-H,437.2909,12.51,CHENODEOXYCHOLATE+FA,C24H40O4,
M-H,391.2854,12.51,DEOXYCHOLIC ACID(DCA),C24H40O4,
,459.2732,12.51,DEOXYCHOLIC ACID(DCA),C24H40O4,
M+Cl,427.2621,12.51,DEOXYCHOLIC ACID(DCA)+Cl,C24H40O4,
M+FA-H,437.2909,12.51,DEOXYCHOLIC ACID(DCA)+FA,C24H40O4,
M-H,391.2854,12.52,DEOXYCHOLATE,C24H40O4,
M-H,333.20694,12.59,"13,14-DIHYDRO-15-KETO PROSTAGLANDIN A2 ",,
M-H,187.0401,12.68,1-HYDROXY-2-NAPHTHOATE,C11H8O3,
,330.0983,12.7,CITBRASINE,C17H17NO6,
M-H,337.23837,12.75,14(15)-DIHET,,
M-H,342.265,12.75,LAUROYLCARNITINE,C19H37NO4,
M+Cl,378.2417,12.75,LAUROYLCARNITINE+Cl,C19H37NO4,
M+FA-H,388.2705,12.75,LAUROYLCARNITINE+FA,C19H37NO4,
M-H,340.2493,12.8,DODECENOYLCARNITINE,C19H35NO4,
M+Cl,376.226,12.8,DODECENOYLCARNITINE+Cl,C19H35NO4,
M+FA-H,386.2548,12.8,DODECENOYLCARNITINE+FA,C19H35NO4,
M-H,432.3119,12.81,GLYCOLITHOCHOLIC ACID,C26H43NO4,
M+Cl,468.2886,12.81,GLYCOLITHOCHOLIC ACID+Cl,C26H43NO4,
M+FA-H,315.2541,12.87,HEPTADECANOATE+FA,C17H34O2,
,244.9968,12.87,ISOPENTENYL PYROPHOSPHATE,C8H7ClN2O5,
,306.2078,12.89,CAPSAICIN +2H,C18H27NO4,
,426.0221,12.91,2'-DEOXYGUANOSINE 5'-DIPHOSPHATE,C10H15N5O10P2,
,407.2198,12.92,LYSOPA(16:1),C19H37O7P,
,500.2789,12.93,LYSOPE (20:4),,
,524.2777,12.93,LYSOPE (22:6),,
M-H,337.23837,12.94,11(12)-DIHET,,
,500.2792,12.94,LYSOPE (20:4),,
M-H,279.19632,13,12(S)-HHTRE,C17H28O3,
M+FA-H,315.2541,13.06,HEPTADECANOATE+FA,C17H34O2,
M-H,317.2121,13.12,(±)18-HEPE,C20H30O3,
M-H,337.23837,13.14,8(9)-DIHET,,
,481.2361,13.19,LYSOPA(22:6),C25H39O7P,
,457.2361,13.23,LYSOPA(20:4),C23H39O7P,
,433.2361,13.26,LYSOPA(18:2),C21H39O7P,
M-H,429.301,13.31,7-HYDROXY-3-OXO-4-CHOLESTENOIC ACID,C27H42O4,
M+Cl,465.2777,13.31,7-HYDROXY-3-OXO-4-CHOLESTENOIC ACID+Cl,C27H42O4,
M+FA-H,475.3065,13.31,7-HYDROXY-3-OXO-4-CHOLESTENOIC ACID+FA,C27H42O4,
M+e,194.0809,13.39,CAFFEINE,C8H10N4O2,
M-H,319.22757,13.43,20-HETE,C20H32O3,
,452.2789,13.43,LYSOPE (16:0),,
,478.2924,13.46,LYSOPE (18:1),,
,277.1451,13.5,PHTHALIC ACID MONO-2-ETHYLHEXYL ESTER (MEHP),C16H22O4,
,277.1441,13.55,MONO-(2-ETHYLHEXYL) PHTHALATE,C16H22O4,
,540.33,13.55,MONO-(2-ETHYLHEXYL) PHTHALATE DIMER,,
,772.4764,13.55,MONO-(2-ETHYLHEXYL) PHTHALATE TRIMER,,
,325.1836,13.56,4-DODECYLBENZENESULFONATE,C12H31N4O2PS,
,459.2517,13.57,LYSOPA(20:3),C23H41O7P,
M-H,315.1962,13.63,"15-DEOXY-?12,14-PROSTAGLANDIN J2 ",,
,566.3449,13.65,LYSOPC (18:1),,
,409.2355,13.68,LYSOPA(16:0),C19H39O7P,
,277.1451,13.8,MONOOCTYL PHTLATE (MOP),C16H22O4,
,435.2512,13.86,LYSOPA(18:1),C21H41O7P,
,462.3001,13.9,PLASMENYL-LYSOPE (P-18:1),,
M-H,319.22757,14.08,12(S)-HETE,C20H32O3,
M+Cl,404.2573,14.24,TETRADECENOYL-L-CARNITINE+Cl,C21H39NO4,
M+FA-H,414.2861,14.24,TETRADECENOYL-L-CARNITINE+FA,C21H39NO4,
M-H,375.2905,14.25,LITHOCHOLIC ACID (LCA),C24H40O3,
M+FA-H,421.2959,14.25,LITHOCHOLIC ACID (LCA)+FA,C24H40O3,
M-H,414.3225,14.26,3-HYDROXYHEXADECANOYLCARNITINE,C23H45NO5,
M+Cl,450.2992,14.26,3-HYDROXYHEXADECANOYLCARNITINE+Cl,C23H45NO5,
M+FA-H,460.328,14.26,3-HYDROXYHEXADECANOYLCARNITINE+FA,C23H45NO5,
M-H,321.24329,14.27,12(S)-HETRE,C20H33O3,
,239.067,14.35,DINOTERB (HERBICIDE),C10H12N2,
,480.308,14.53,LYSOPE (18:0),,
M-H,319.22757,14.56,14(15)-EET,C20H32O3,
M-H,370.2963,14.62,MYRISTOYL-L-CARNITINE,C21H41NO4,
M+Cl,406.273,14.62,MYRISTOYL-L-CARNITINE+Cl,C21H41NO4,
M+FA-H,416.3018,14.62,MYRISTOYL-L-CARNITINE+FA,C21H41NO4,
,299.2011,14.7,RETINOIC ACID,,
M-H,319.22757,14.75,11(12)-EET,C20H32O3,
M-H,373.2748,14.81,DEHYDROLITHOCHOLIC ACID,C24H38O3,
M+FA-H,419.2803,14.81,DEHYDROLITHOCHOLIC ACID+FA,C24H38O3,
M-H,319.22757,14.85,8(9)-EET,C20H32O3,
,519.2347,14.9,ANTIMYCIN A3,C26H36N2O9,
,301.2171,15.28,EICOSAPENTAENOIC ACID,C20H30O2,
,533.2504,15.33,ANTIMYCIN A2,C27H38N2O9,
,277.2168,15.5,A-LINOLENIC ACID,C18H30O2,
M+FA-H,468.3331,15.57,LINOLEYL CARNITINE+FA,C25H45NO4,
,327.2328,15.68,DOCOSAHEXANOIC ACID,C22H32O2,
,547.2662,15.76,ANTIMYCIN A1,C28H40N2O9,
,327.2325,15.76,DOCOSAHEXAENOIC ACID (22:6),C22H32O2,
M-H,303.2326,16,ARACHIDONIC ACID (20:4),C20H32O2,
,279.2325,16.25,LINOLEIC ACID (18:2),C18H32O2,