adduct,mz,rt QE,name,Formula
M+H,407.2792,10.87,7-KETODEOXYCHOLIC ACID,C24H38O5
M+Na,429.2611,10.87,7-KETODEOXYCHOLIC ACID+Na,C24H38O5
M+H-H2O,389.2686,10.87,7-KETODEOXYCHOLIC ACID-water,C24H38O5
M+H,103.039,2.03,ACETOACETATE,C4H6O3
M+Na,125.0209,2.03,ACETOACETATE+Na,C4H6O3
M+H,152.0711,9.18,ACETOMINOPHEN,C8H9NO2
M+H,217.1295,1.62,ACETYLARGININE,C8H16N4O3
M+H,204.1232,3.7,ACETYLCARNITINE,
,207.1414,3.7,ACETYLCARNITINE (N-methyl-D3),
M+Na,226.105,3.7,ACETYLCARNITINE+Na,C9H17NO4
M-e,146.1176,2.39,ACETYLCHOLINE,C7H16NO2
M+H,218.1135,2.23,ACETYLCITRULLINE,C8H15N3O4
M+H-H2O,186.1125,3.7,ACETYL-L-CARNITINE-H2O,C9H17NO4
M+H,148.0604,0.85,ACETYL-L-SERINE,C5H9NO4
M+K,186.0163,0.85,ACETYL-L-SERINE+K,C5H9NO4
M+Na,170.0424,0.85,ACETYL-L-SERINE+Na,C5H9NO4
M+H-H2O,130.0499,0.85,ACETYL-L-SERINE-H2O,C5H9NO4
M+H-NH3,131.0339,0.85,ACETYL-L-SERINE-NH3,C5H9NO4
M+H,208.097,8.76,ACETYLPHENYLALANINE,C11H13NO3
M+H,248.1498,5.3,ACYL-CARNITINE(4-OH),
M+H,262.1649,6.6,ACYL-CARNITINE(5-OH),
M+H,136.0618,1.48,ADENINE,C5H5N5
M+K,174.0177,1.48,ADENINE+K,C5H5N5
M+Na,158.0437,1.48,ADENINE+Na,C5H5N5
M+H-NH3,119.0352,1.48,ADENINE-NH3,C5H5N5
M+H,268.104,5.72,ADENOSINE,C10H13N5O4
M+H,330.0598,3.54,"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE",C10H12N5O6P
M+Na,352.0417,3.54,"ADENOSINE 2',3'-CYCLIC MONOPHOSPHATE+Na",C10H12N5O6P
M+H,330.0598,6.1,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE",C10H12N5O6P
M+Na,352.0417,6.1,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE+Na",C10H12N5O6P
M+H,428.0367,1.15,"ADENOSINE 3',5'-DIPHOSPHATE",C10H15N5O10P2
M+H,560.079,1.17,ADENOSINE 5'-DIPHOSPHORIBOSE,C15H23N5O14P2
M+Na,582.0609,1.17,ADENOSINE 5'-DIPHOSPHORIBOSE+Na,C15H23N5O14P2
M+H,348.0704,1.77,ADENOSINE 5'-MONOPHOSPHATE,C10H14N5O7P
M+Na,290.086,5.72,ADENOSINE+Na,C10H13N5O4
M+H,590.0895,1.15,ADENOSINE-5'-DIPHOSPHOGLUCOSE,C16H25N5O15P2
M+Na,612.0715,1.15,ADENOSINE-5'-DIPHOSPHOGLUCOSE+Na,C16H25N5O15P2
M+H,330.0598,5.84,ADENOSINE-CYCLIC MONOPHOSPHATE,C10H12N5O6P
M+H,147.0652,7.06,ADIPIC ACID/3-METHYGLUTARIC ACID,C6H10O4
M+Na,169.0471,7.06,ADIPIC ACID/3-METHYGLUTARIC ACID+Na,C6H10O4
M+H-H2O,129.0546,7.06,ADIPIC ACID/3-METHYGLUTARIC ACID-H2O,C6H10O4
M+H,290.1598,7.16,ADIPOYLCARNITINE,C13H23NO6
M+Na,312.1418,7.16,ADIPOYLCARNITINE+Na,C13H23NO6
M+H,131.1291,0.65,AGMATINE SULFATE,C5H14N4
M+Na,153.1111,0.65,AGMATINE SULFATE+Na,C5H14N4
M+H-NH3,114.1026,0.65,AGMATINE SULFATE-NH3,C5H14N4
M+H,147.02937,1.23,a-KETOGLUTARATE,C5H6O5
M+H,90.05495,0.751,ALANINE/SARCOSINE,C3H7NO2
M+Na,203.0526,0.79,ALDO/KETO-HEXOSE,C6H12O6
M+Na,173.042,0.79,ALDOPENTOSE,C5H10O5
M+H,159.0513,0.81,ALLANTOIN,C4H6N4O3
M+Na,181.0332,0.81,ALLANTOIN+Na,C4H6N4O3
M+Na,431.2768,11.17,ALLOCHOLIC ACID+Na,C24H40O5
M+H,162.0761,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE,C6H11NO4
M+K,200.032,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+K,C6H11NO4
M+Na,184.058,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE+Na,C6H11NO4
M+H-H2O,144.0655,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-H2O,C6H11NO4
M+H-NH3,145.0495,0.9,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE-NH3,C6H11NO4
M+H,261.037,0.72,ALPHA-D-GALACTOSE 1-PHOSPHATE,C6H13O9P
M+Na,283.0189,0.72,ALPHA-D-GALACTOSE 1-PHOSPHATE+Na,C6H13O9P
M+H-H2O,243.0264,0.72,ALPHA-D-GALACTOSE 1-PHOSPHATE-H2O,C6H13O9P
M+Na,203.0526,0.72,ALPHA-D-GLUCOSE,C6H12O6
M+H-H2O,163.0601,0.72,ALPHA-D-GLUCOSE-H2O,C6H12O6
M+H-H2O,391.2843,12.04,ALPHA-MURICHOLIC ACID-H20,C24H40O5
M+H,371.1548,7.93,AMYLOSE,C14H26O11
M+H,138.055,8.73,ANTHRANILATE,C7H7NO2
M+H-H2O,120.0444,8.73,ANTHRANILATE-H2O,C7H7NO2
M+H,549.2804,15.76,ANTIMYCIN A1,C28H40N2O9
M+H,535.2647,15.33,ANTIMYCIN A2,C27H38N2O9
M+H,521.2493,14.9,ANTIMYCIN A3,C26H36N2O9
,415.1585,8.3,APTELATOSIDE A,C19H26O10
M+Na,173.042,0.77,ARABINOSE+Na,C5H10O5
M+H-H2O,133.0495,0.77,ARABINOSE-H2O,C5H10O5
M+H,305.24667,14.95,ARACHIDONIC ACID,C20H32O2
[M+Na],327.22864,14.95,ARACHIDONIC ACID+Na,C20H32O2
M+H,177.03936,2.149,ASCORBATE,C6H8O6
M+H,134.04478,0.742,ASPARTATE,C4H7NO4
M+2H,263.087,1.01,ASP-GLU,C9H14N2O7
M+H,189.1121,9.34,AZELAIC ACID,C9H16O4
M+Na,211.0941,9.34,AZELAIC ACID+Na,C9H16O4
M+H-H2O,171.1016,9.34,AZELAIC ACID-H2O,C9H16O4
M+H,229.0859,9.601,BENZOPHENONE,C14H12O3
M+H,313.143,14.67,Benzyl butyl pthalate (BzBP),C19H20O4
M+H,108.0808,4.81,BENZYLAMINE,C7H9N
M+H-NH3,91.0542,4.81,BENZYLAMINE-NH3,C7H9N
M+H,90.055,0.71,BETA-ALANINE,C3H7NO2
M+Na,112.0369,0.71,BETA-ALANINE+Na,C3H7NO2
M+H-H2O,72.0444,0.71,BETA-ALANINE-H2O,C3H7NO2
M+Na,140.0682,0.89,BETAINE+Na,C5H11NO2
M+Na,431.2768,11.03,BETA-MURICHOLIC ACID+Na,C24H40O5
M+H,245.0954,8.18,BIOTIN,C10H16N2O3S
M+Na,267.0774,8.18,BIOTIN+Na,C10H16N2O3S
M+H-H2O,227.0849,8.18,BIOTIN-H2O,C10H16N2O3S
M+H,391.28293,16.789,Bis(2-ethylhexyl) phthalate,C24H38O4
M+H,132.1495,0.54,BIS(3-AMINOPROPYL)AMINE,C6H17N3
M+H-H2O,130.1339,0.65,BIS(3-AMINOPROPYL)AMINE-H2O,C6H17N3
M+H-NH3,115.123,0.54,BIS(3-AMINOPROPYL)AMINE-NH3,C6H17N3
,166.08626,11.49,BOC-D-Phenylalanine,C14H19NO4
M+Na,288.1212,11.49,BOC-D-Phenylalanine+Na,C14H19NO4
,182.08117,10.05,BOC-L-Tyrosine,C14H19NO5
M+Na,304.11612,10.05,BOC-L-Tyrosine+Na,C14H19NO5
M+H,73.0648,10.3,BUTANAL,C4H8O
M+H,232.1543,7.51,BUTANOYLCARNITINE,C11H21NO4
M+Na,254.1363,7.51,BUTANOYLCARNITINE+Na,C11H21NO4
,146.1181,1.2,BUTYROBETAINE,C7H15NO2
M+H,232.1549,7.41,BUTYRYLCARNITINE,C11H21NO4
,235.17253,7.43,BUTYRYLCARNITINE D9,
M+Na,254.1363,7.42,BUTYRYLCARNITINE+Na,C11H21NO4
M+Na,175.0577,0.77,C5-SUGAR ALCOHOL ,C5H12O5
M+H,181.0495,8.46,CAFFEATE,C9H8O4
M+H-H2O,163.039,8.46,CAFFEATE-H2O,C9H8O4
M+H,195.0877,8.02,CAFFEINE,C8H10N4O2
,198.09827,7.92,CAFFEINE 13C3,*C3C5H10N4O2
,198.10704,7.9,CAFFEINE-D3,C8H7D3N4O2
,153.12721,9.895,CAMPHOR,C10H16O
M+H,145.1223,9.16,CAPRYLIC ACID,C8H16O2
M+H,306.2058,12.39,CAPSAICIN,C18H27NO3
,308.2214,12.89,CAPSAICIN +2H,C18H27NO4
M+H,227.1139,0.71,CARNOSINE,C9H14N4O3
M+Na,249.0958,0.71,CARNOSINE+Na,C9H14N4O3
M+H-H2O,209.1033,0.71,CARNOSINE-H2O,C9H14N4O3
M+H-NH3,210.0873,0.71,CARNOSINE-NH3,C9H14N4O3
M+H-H2O,135.117,9.14,CARVEOL,C10H16O
M+H,291.0848,8.09,CATECHIN,C15H14O6
M+H,111.0441,13.38,CATECHOL,C6H6O2
M+Na,365.1054,0.82,CELLOBIOSE,C12H22O11
M+H-H2O,325.1129,0.82,CELLOBIOSE_H2O,C12H22O11
M+H-2H2O,357.2776,12.39,CHENODEOXYCHOLATE-2H2O,C24H40O4
M+H-H2O,375.2894,12.39,CHENODEOXYCHOLATE-H2O,C24H40O4
Dimer,899.6343,11.35,CHENODEOXYCHOLGLYCINE-Dimer,C26H43NO8
Dimer,785.5906,12.39,CHENODEOXYCHOLIC ACID-dimer,C24H40O4
M+H,450.3201,11.35,CHENODEOXYCHOLYGLYCINE (GCDCA),C26H43NO5
M+H-2H2O,414.2992,11.35,CHENODEOXYCHOLYGLYCINE (GCDCA)-2H2O,C26H43NO5
M+H-H2O,432.3099,11.35,CHENODEOXYCHOLYGLYCINE (GCDCA)-H2O,C26H43NO5
M+Na,431.2768,11.26,CHOLATE+Na,C24H40O5
M+NH4,426.3197,11.26,CHOLATE+NH4,C24H40O5
M+H-2H2O,373.2722,11.26,CHOLATE-2H2O,C24H40O5
Dimer,817.5801,11.2,CHOLATE-dimer,C24H40O5
M+H-H2O,391.2843,11.26,CHOLATE-H2O,C24H40O5
M+H-H2O,391.2827,11.26,CHOLATE-H2O,C24H40O5
M-e,104.107,0.81,CHOLINE,C5H14NO
,221.18,0.85,CHOLINE-Dimer,C5H13NO
M+H,132.0655,0.73,CIS-4-HYDROXY-D-PROLINE,C5H9NO3
M+Na,154.0475,0.73,CIS-4-HYDROXY-D-PROLINE+Na,C5H9NO3
M+H,149.0444,2.26,CITRAMALATE,C5H8O5
M+Na,171.0264,2.26,CITRAMALATE+Na,C5H8O5
M+H,193.0343,1.92,CITRATE,C6H8O7
source fragment,129.0185,1.92,CITRATE source fragment,
source fragment,157.0133,1.92,CITRATE source fragment,
source fragment,175.0238,1.92,CITRATE source fragment,
M+Na,215.0162,1.92,CITRATE+Na,C6H8O7
M+NH3,210.061,1.92,CITRATE+NH3,
M+H-H2O,175.0237,1.92,CITRATE-H2O,C6H8O7
M+H,176.103,0.77,CITRULLINE,C6H13N3O3
M+Na,198.0849,0.77,CITRULLINE+Na,C6H13N3O3
M+H-NH3,159.0764,0.77,CITRULLINE-NH3,C6H13N3O3
M+H,324.0591,1.12,CMP,C9H14N3O8P
M+Na,473.3237,12.39,COPROCHOLIC ACID+Na,C27H46O5
M+H-H2O,433.3312,12.39,COPROCHOLIC ACID-H2O,C27H46O5
M+H,347.2217,10.77,CORTICOSTERONE,C21H30O4
M+H,363.2166,10.01,CORTISOL,C21H30O5
M+H,405.2272,11.34,CORTISOL 21-ACETATE,C23H32O6
M+Na,385.1985,10.01,CORTISOL+Na,C21H30O5
M+H,361.201,10.19,CORTISONE,C21H28O5
M+H,177.1028,4.8,COTININE,C10H12N2O
M+H,132.0768,0.89,CREATINE,C4H9N3O2
M+H-H2O,194.0325,0.66,CREATINE PHOSPHATE,C4H10N3O5P
M+H,135.09613,0.89,CREATINE:D3,C4H8D3N3O3
[M+Na],157.07808,0.89,CREATINE:D3+Na,C4H8D3N3O3
M+Na,154.0587,0.89,CREATINE+Na,C4H9N3O2
M+H-H2O,114.0662,0.89,CREATINE-H2O,C4H9N3O2
M+H-NH3,115.0502,1.35,CREATINE-NH3,C4H9N3O2
M+H,114.0662,0.91,CREATININE,C4H7N3O
M+K,152.0221,0.91,CREATININE+K,C4H7N3O
M+Na,136.0481,0.91,CREATININE+Na,C4H7N3O
M+H,542.0681,3.2,CYCLIC-ADP RIBOSE,C15H21N5O13P2
M+H,211.144,8.06,CYCLO-LEU-PRO,C11H18N202
M+Na,107.0467,7.9,CYCLOPENTANONE,C5H8O
M+H,155.0815,4.35,CYCLO-PROLYLGLYCINE,C7H10N2O2
M+H,179.0485,0.72,CYS-GLY,C5H10N2O3S
M+Na,201.0304,0.72,CYS-GLY+Na,C5H10N2O3S
M+H-NH3,162.0219,0.72,CYS-GLY-NH3,C5H10N2O3S
M+H,78.0372,0.63,CYSTEAMINE,C2H7NS
M+H-H2O,76.0215,0.63,CYSTEAMINE-H2O,C2H7NS
M+H,244.0928,1.59,CYTIDINE,C9H13N3O5
M+H,306.0486,1.1,"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE",C9H12N3O7P
M+Na,328.0305,1.1,"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE+Na",C9H12N3O7P
M+H,489.1146,0.92,CYTIDINE 5'-DIPHOSPHOCHOLINE,C14H26N4O11P2
M+Na,511.0966,0.92,CYTIDINE 5'-DIPHOSPHOCHOLINE+Na,C14H26N4O11P2
M+Na,266.0747,1.59,CYTIDINE+Na,C9H13N3O5
M+H,112.0505,0.85,CYTOSINE,C4H5N3O
M+K,150.0064,0.85,CYTOSINE+K,C4H5N3O
M+Na,134.0325,0.85,CYTOSINE+Na,C4H5N3O
M+H,332.0754,2.62,DAMP,C10H14N5O6P
M+Na,354.0574,2.62,DAMP+Na,C10H14N5O6P
M+H,176.118,8.31,DEBRISOQUINE,C10H13N3
M+H-H2O,155.143,11.16,DECANOATE-H2O,C10H20O2
M+H,316.2482,11.81,DECANOYLCARNITINE,C17H33NO4
M+Na,338.2302,11.81,DECANOYLCARNITINE+Na,C17H33NO4
M+H,561.3601,7.83,DEFEROXAMIN,C25H48N6O8
M+H,403.2479,11.13,DEHYDROCHOLIC ACID,C24H34O5
M+Na,425.2298,11.13,DEHYDROCHOLIC ACID+Na,C24H34O5
M+H-H2O,385.2373,11.13,DEHYDROCHOLIC ACID-H2O,C24H34O5
M+H,175.0237,0.73,DEHYDRO-L-(+)-ASCORBIC ACID DIMER,C6H6O6
M+H,375.2894,11.64,DEHYDROLITHOCHOLIC ACID,C24H38O3
M+H,146.1176,1.21,DEOXYCARNITINE,C7H15NO2
M+Na,168.0995,1.21,DEOXYCARNITINE+Na,C7H15NO2
M+H-H2O,375.2894,12.51,DEOXYCHOLIC ACID (DCA),C24H40O4
M+Na,415.2819,12.51,DEOXYCHOLIC ACID (DCA)+Na,C24H40O4
M+H-2H2O,357.2777,12.51,DEOXYCHOLIC ACID (DCA)-2H2O,C24H40O4
M+H,373.2373,13.39,DEOXYCORTICOSTERONE ACETATE,C23H32O4
M+H,228.0979,2.19,DEOXYCYTIDINE,C9H13N3O4
M+K,266.0538,2.19,DEOXYCYTIDINE+K,C9H13N3O4
M+Na,250.0798,2.19,DEOXYCYTIDINE+Na,C9H13N3O4
M+Na,250.0798,2.19,DEOXYCYTIDINE+Na,C9H13N3O4
M+H,135.0652,6.88,DEOXYRIBOSE,C5H10O4
M+H,229.0819,4.53,DEOXYURIDINE,C9H12N2O5
M+Na,251.0638,4.53,DEOXYURIDINE+Na,C9H12N2O5
M+H-H2O,211.0713,6.52,DEOXYURIDINE-H2O,C9H12N2O5
M+H,385.3465,16.56,DESMOSTEROL,C27H44O
M+H-H2O,367.3359,16.56,DESMOSTEROL-H2O,C27H44O
M+Na,237.121,8.51,DETHIOBIOTIN,C10H18N2O3
M+H,215.139,8.51,DETHIOBIOTIN,C10H18N2O3
M+H-H2O,197.1285,8.51,DETHIOBIOTIN-H2O,C10H18N2O3
M+H,272.20013,15.651,DEXTROMETHORPHAN,C12H26N5P
M+H,181.0707,0.74,D-FRUCTOSE,C6H12O6
M+K,219.0265,0.74,D-FRUCTOSE+K,C6H12O6
M+Na,203.0526,0.74,D-FRUCTOSE+Na,C6H12O6
M+H-H2O,163.0601,0.74,D-FRUCTOSE-H2O,C6H12O6
M+H,165.0947,0.9,D-FUCOSE,C6H12NO5
M+Na,203.0526,0.72,D-GALACTOSE+Na,C6H12O6
M+H-H2O,163.0601,0.72,D-GALACTOSE-H2O,C6H12O6
M+H,197.0656,0.76,D-GLUCONATE,C6H12O7
M+K,235.0215,0.76,D-GLUCONATE+K,C6H12O7
M+Na,219.0475,0.76,D-GLUCONATE+Na,C6H12O7
M+H-H2O,179.055,0.76,D-GLUCONATE-H2O,C6H12O7
M+H,197.0656,0.75,"D-GLUCONO-1,5-LACTONE",C6H12O7
M+Na,219.0475,0.75,"D-GLUCONO-1,5-LACTONE+Na",C6H12O7
M+H-H2O,179.055,0.75,"D-GLUCONO-1,5-LACTONE-H2O",C6H12O7
,260.053,0.71,D-GLUCOSAMINE 6-PHOSPHATE,C6H14NO8P
M+H,260.0435,0.7,D-GLUCOSAMINE 6-SULFATE,C6H13NO8S
M+Na,282.0254,0.7,D-GLUCOSAMINE 6-SULFATE+Na,C6H13NO8S
M+H-H2O,242.0329,0.7,D-GLUCOSAMINE 6-SULFATE-H2O,C6H13NO8S
[M+Na],209.07329,0.72,D-GLUCOSE 13C6,HO*CH2(*CHOH)4*CHO
M+H,261.037,0.72,D-GLUCOSE 6-PHOSPHATE,C6H13O9P
M+Na,217.0319,0.73,D-GLUCURONIC ACID+Na,C6H10O7
M+H-H2O,177.0394,0.73,D-GLUCURONIC ACID-H2O,C6H10O7
M+Na,217.0319,0.73,D-GLUCURONOLACTONE,C6H10O7
M+Na,129.0158,0.85,D-GLYCERIC ACID,C3H6O4
M+H,197.0656,0.74,D-GULONIC ACID GAMA-LACTONE,C6H12O7
M+Na,219.0475,0.74,D-GULONIC ACID GAMA-LACTONE+Na,C6H12O7
M+H-H2O,179.055,0.74,D-GULONIC ACID GAMA-LACTONE-H2O,C6H12O7
,259.18988,14.276,DIBUTYL ADIPATE,C14H26O4
[M+Na],281.17184,14.276,DIBUTYL ADIPATE+Na,C14H26O4
,279.15833,14.732,DIBUTYL PHTHALATE,C16H22O4
,331.18961,15.731,DICYCLOEXYL PHTHALATE,C20H26O4
M+H,106.0863,0.72,DIETHANOLAMINE,C4H11NO2
M+Na,128.0682,0.69,DIETHANOLAMINE+Na,C4H11NO2
M+Na,225.0733,9.34,DIETHYL 2-METHYL-3-OXOSUCCINATE,C9H14O5
M+H,223.0962,12.37,DIETHYL PHTHALATE (DEP),C12H14O4
M+H,245.2693,0.53,DIETHYNORSPERMINE,C13H32N4
M+H,159.04003,1.2,DIHYDROOROTATE,C5H6N2O4
M+H,171.0053,0.8,DIHYDROXYACETONE PHOSPHATE,C3H7O6P
M+H-H2O,167.0339,13.63,DIHYDROXYMANDELIC ACID-H2O,C8H8O5
M+H,162.0551,8.067,DIHYDROXYQUINOINE,C9H7NO2
M+H,279.2319,14.756,DIISOBUTYLPHTHALATE,C16H22O4
M+H,195.0649,11.03,DIMETHYL PTHALATE,C10H10O4
M+H,203.1503,0.996,DIMETHYLARGININE,C8H18N4O2
M+H,147.0917,8.27,DIMETHYLBENZIMIDAZOLE,C9H10N2
M+H,312.1302,7.04,DIMETHYLGUANOSINE,C12H17N5O5
M+H,279.1586,14.67,Di-n-butyl pthalate (DBP),C16H22O4
M+H,170.0967,13.7,DIPHENYLAMINE,C12H11N
M+H,251.12715,13.724,Dipropyl phthalate,C14H18O4
M+H,251.1274,13.6,Dipropyl phthalate (DPP),C14H18O4
[M+Na],157.08334,6.462,Dipropylene glycol,C6H14O3
M+H,343.1532,14.555,Dipropyleneglycol dibenzoate,C20H22O5
M+H,297.05756,14.062,DISULFIRAM,C10H20N2S4
M+H,343.1235,0.75,D-LACTOSE,C12H22O11
M+Na,365.1054,0.75,D-LACTOSE+Na,C12H22O11
M+H-H2O,325.1129,0.75,D-LACTOSE-H2O,C12H22O11
M+H,180.0866,0.67,D-MANNOSAMINE,C6H13NO5
M+K,218.0425,0.67,D-MANNOSAMINE+K,C6H13NO5
M+Na,202.0686,0.67,D-MANNOSAMINE+Na,C6H13NO5
M+H-H2O,162.0761,0.67,D-MANNOSAMINE-H2O,C6H13NO5
M+H,261.037,0.72,D-MANNOSE 6-PHOSPHATE,C6H13O9P
M+Na,283.0189,0.72,D-MANNOSE 6-PHOSPHATE+Na,C6H13O9P
M+H-H2O,243.0264,0.72,D-MANNOSE 6-PHOSPHATE-H2O,C6H13O9P
,329.348,15.76,DOCOSAHEXANOIC ACID,
M+H,344.2795,13.12,DODECANOYLCARNITINE,C19H37NO4
,344.2801,12.71,DODECANOYLCARNITINE,C19H37NO4
M+Na,366.2615,13.12,DODECANOYLCARNITINE+Na,C19H37NO4
M+H,154.0863,2.8,DOPAMINE,C8H11NO2
