adduct,mz,rt QE,name,Formula
M+Na/M+Na,554.2801,9.28538,OxLYSO PC (18:4(OH))/OxLysoPC (18:3(Ke)),
M+H/M+H/M+Na/M+H,548.2947,14.02922,"OxLYSO PC (18:4(OO))/OxLysoPC (18:3(Ke, OH))/OxoLysoPC (16:1(OO))/OxPC (18:2)",
M+H,588.2982,7.004342,OxPC (20:3(KeKe)),
M+Na/M+Na/M+Na/M+Na,734.3612,8.680635,"OxPE (20:5(OO)_11:1(CHO))/OxPE (20:5(Ke)_11:0(COOH))/OxPE (17:2(Ke,OH)_14:3(CHO))/OxPE (20:4(Ke,OH)_11:1(CHO))",
M+Na,365.1054,0.82,PALATINOSE+Na,C12H22O11
M+H-H2O,325.1129,0.82,PALATINOSE-H2O,C12H22O11
,255.23117,14.23,PALMITOLEIC ACID,C16H30O2
,400.3427,16.91,PALMITOYLCARNITINE,C23H45NO4
,403.35592,15.73,PALMITOYLCARNITINE ( N-methyl-D3),
M+Na,153.0522,7.88,PANTOLACTONE+Na,C6H10O3
M+H,220.1179,6.58,PANTOTHENIC ACID,C9H17NO5
M+H,220.1179,6.6,PANTOTHENIC ACID,C9H17NO5
M+Na,242.0999,6.58,PANTOTHENIC ACID+Na,C9H17NO5
M+H-H2O,202.1074,6.58,PANTOTHENIC ACID-H2O,C9H17NO5
M+H,181.072,7.46,PARAXANTHINE,C7H8N4O2
M+Na,203.0539,7.46,PARAXANTHINE+Na,C7H8N4O2
M+H,760.5867,16.80295,PC (34:1),
[M+Na],261.13058,7.032,PEG n5,C10H22O6
M+H-H2O,85.0648,3.75,PENTANOATE,C5H10O2
,313.1552,8.9,PHE PHE,C18H20N2O3
M+H,122.0964,7.18,PHENETHYLAMINE,C8H11N
M+H-NH3,105.0699,7.18,PHENETHYLAMINE-NH3,C8H11N
M+H-NH3,134.0362,7.07,PHENYL ACETATE,C8H8O2
M+H,136.0757,7.96,PHENYLACETAMIDE,C8H9NO3
M+H,265.1188,8.1,PHENYLACETYLGLUTAMINE,C13H16N2O4
M+H,138.0913,4.92,PHENYLETHANOLAMINE,C8H11NO
M+Na,160.0733,4.92,PHENYLETHANOLAMINE+Na,C8H11NO
M+H-H2O,120.0808,4.92,PHENYLETHANOLAMINE-H2O,C8H11NO
,127.03881,10.336,PHLOROGLUCINOL,C6H6O3
M+H,168.9897,0.87,PHOSPHO(ENOL)PYRUVIC ACID,C3H5O6P
M+H-H2O,150.9791,0.87,PHOSPHO(ENOL)PYRUVIC ACID-H2O,C3H5O6P
,184.0733,0.77,PHOSPHOCHOLINE,C5H14NO4P
M+H,212.0431,0.81,PHOSPHOCREATINE,C4H10N3O5P
M+Na,234.025,0.81,PHOSPHOCREATINE+Na,C4H10N3O5P
M+H,140.9947,0.76,PHOSPHONOACETATE,C2H5O5P
M+Na,162.9767,0.76,PHOSPHONOACETATE+Na,C2H5O5P
M+H-H2O,122.9842,0.76,PHOSPHONOACETATE-H2O,C2H5O5P
,167.03346,15.731,PHTALIC ACID,C8H6O4
,279.1586,13.5,Phthalic acid mono-2-ethylhexyl ester (MEHP),C16H22O4
M+H,124.0393,1.31,PICOLINIC ACID,C6H5NO2
M+Na,146.0212,1.31,PICOLINIC ACID+Na,C6H5NO2
M+H-H2O,106.0287,1.31,PICOLINIC ACID-H2O,C6H5NO2
M+H,130.0863,1.2,PIPECOLIC ACID,C6H11NO2
M+K,168.0421,1.2,PIPECOLIC ACID+K,C6H11NO2
M+Na,152.0682,1.2,PIPECOLIC ACID+Na,C6H11NO2
M+H?,175.0245,2.454,PlaSMA ID-412,
M+H,218.1387,6.64,PROPANOYLCARNITINE,C10H19NO4
M+Na,240.1206,6.64,PROPANOYLCARNITINE+Na,C10H19NO4
M+H,218.1387,6.64,PROPIONYLCARNITINE,C10H19NO4
,221.15693,6.68,PROPIONYLCARNITINE D3,
M+Na,240.1206,6.64,PROPIONYLCARNITINE+Na,C10H19NO4
M+Na,203.0526,0.79,PSICOSE+Na,C6H12O6
M+H-H2O,163.0601,0.79,PSICOSE-H2O,C6H12O6
M+H,164.0567,3.29,PTERIN,C6H5N5O
M+Na,186.0386,3.29,PTERIN+Na,C6H5N5O
,153.1273,6.599,PULEGONE,C10H16O
,121.05087,3.009,PURINE,C5H4N4
M+Na,143.0328,3.009,PURINE+Na,C5H4N4
M+H,89.1073,0.59,PUTRESCINE,C4H12N2
M+Na,111.0893,0.59,PUTRESCINE+Na,C4H12N2
M+H-NH3,72.0808,0.59,PUTRESCINE-NH3,C4H12N2
,80.04971,0.973,Pyridine,C5H5N
M+H,168.0291,1.61,"PYRIDINE-2,3-DICARBOXYLATE",C7H5NO4
M+Na,190.0111,1.61,"PYRIDINE-2,3-DICARBOXYLATE+Na",C7H5NO4
M+H-H2O,150.0186,1.61,"PYRIDINE-2,3-DICARBOXYLATE-H2O",C7H5NO4
M+H,168.0655,1.88,PYRIDOXAL,C8H9NO3
M+H,248.0319,1.79,PYRIDOXAL 5'-PHOSPHATE,C8H10NO6P
M+Na,270.0138,1.79,PYRIDOXAL 5'-PHOSPHATE+Na,C8H10NO6P
M+K,206.0214,1.88,PYRIDOXAL+K,C8H9NO3
M+Na,190.0475,1.88,PYRIDOXAL+Na,C8H9NO3
M+H-H2O,150.055,1.88,PYRIDOXAL-H2O,C8H9NO3
M+H,169.0972,0.76,PYRIDOXAMINE,C8H12N2O2
,249.0643,13.1,PYRIDOXAMINE 5'-PHOSPHATE,C8H13N2O5P
M+Na,191.0791,0.76,PYRIDOXAMINE+Na,C8H12N2O2
M+H-H2O,151.0866,0.76,PYRIDOXAMINE-H2O,C8H12N2O2
M+H-NH3,152.0706,0.76,PYRIDOXAMINE-NH3,C8H12N2O2
M+H,170.0812,2.78,PYRIDOXINE,C8H11NO3
M+Na,192.0631,2.78,PYRIDOXINE+Na,C8H11NO3
M+H-H2O,152.0706,2.78,PYRIDOXINE-H2O,C8H11NO3
,130.04997,1.807,PYROGLUTAMIC ACID,C5H7NO3
M+H,112.0393,7.48,PYRROLE-2-CARBOXYLATE,C5H5NO2
M+H,193.0707,0.85,QUINATE,C7H12O6
M+Na,215.0526,0.85,QUINATE+Na,C7H12O6
M+H-H2O,175.0601,0.85,QUINATE-H2O,C7H12O6
M+H,130.0651,7.01,QUINOLINE,C9H7N
,303.253,13.89,RAC-GLYCEROL 1-MYRISTATE,C17H34O4
M+Na,527.1583,0.96,RAFFINOSE,C18H32O16
M+H,347.2217,10.99,REICHSTEINS SUBSTANCE S,C21H30O4
M+H,153.0546,10.04,RESORCINOL MONOACETATE,C8H8O3
M+H,153.0757,0.74,RIBITOL,C5H12O5
M+H-H2O,135.0652,0.74,RIBITOL_H2O,C5H12O5
M+Na,175.0577,0.74,RIBITOL+Na,C5H12O5
M+H,377.1456,8.13,RIBOFLAVIN,C17H20N4O6
M+Na,399.1275,8.13,RIBOFLAVIN+Na,C17H20N4O6
M+H,231.02654,0.71,RIBULOSE 5-PHOSPHATE,C5H11O8P
[M+Na],253.00838,0.71,RIBULOSE 5-PHOSPHATE+Na,C5H11O8P
M+H,361.0918,9.65,ROSMARINIC ACID,C18H16O8
M+H,385.1289,4.78,S-(5'-ADENOSYL)-L-HOMOCYSTEINE,C14H20N6O5S
M+Na,407.1108,4.78,S-(5'-ADENOSYL)-L-HOMOCYSTEINE+Na,C14H20N6O5S
M+H,399.1445,0.84,S-(5'-ADENOSYL)-L-METHIONINE,C15H22N6O5S
M+H,138.055,8.89,SALICYLAMIDE,C7H7NO2
M+H-NH3,121.0284,8.89,SALICYLAMIDE-NH3,C7H7NO2
M+H,180.1015,4.894,SALSOLINOL,C10H13NO2
M+H,90.055,0.71,SARCOSINE,C3H7NO2
M+Na,112.0369,0.71,SARCOSINE+Na,C3H7NO2
M+H-H2O,72.0444,0.71,SARCOSINE-H2O,C3H7NO2
M+H,180.0325,0.88,S-CARBOXYMETHYL-L-CYSTEINE,C5H9NO4S
M+Na,202.0144,0.88,S-CARBOXYMETHYL-L-CYSTEINE+Na,C5H9NO4S
M+H-NH3,163.006,0.88,S-CARBOXYMETHYL-L-CYSTEINE-NH3,C5H9NO4S
M+H,192.0087,1.81,SELENOMETHIONINE,C5H11NO2Se
M+H-NH3,174.9822,1.81,SELENOMETHIONINE-NH3,C5H11NO2Se
M+H,177.1022,6.8,SEROTONIN,C10H12N2O
M+H-NH3,160.0757,6.8,SEROTONIN-NH3,C10H12N2O
M+H,392.185,9.41,S-HEXYL-GLUTATHIONE,C16H29N3O6S
M+Na,414.1669,9.41,S-HEXYL-GLUTATHIONE+Na,C16H29N3O6S
M+Na,197.042,1.09,SHIKIMATE+Na,C7H10O5
M+H-H2O,157.0495,1.09,SHIKIMATE-H2O,C7H10O5
M+H,258.1101,0.76,SN-GLYCERO-3-PHOSPHOCHOLINE,C8H20NO6P
M+K,296.066,0.76,SN-GLYCERO-3-PHOSPHOCHOLINE+K,C8H20NO6P
M+Na,280.092,0.76,SN-GLYCERO-3-PHOSPHOCHOLINE+Na,C8H20NO6P
M+H,173.021,0.85,SN-GLYCEROL 3-PHOSPHATE,C3H9O6P
M+H-H2O,95.0491,9.48,SORBATE,C6H8O2
M+H,146.1652,0.54,SPERMIDINE,C7H19N3
M+Na,168.1471,0.54,SPERMIDINE+Na,C7H19N3
M+H-NH3,129.1386,0.54,SPERMIDINE-NH3,C7H19N3
M+H,203.223,0.55,SPERMINE,C10H26N4
M+H-NH3,186.1965,0.55,SPERMINE-NH3,C10H26N4
,302.3054,13.3,SPHINGANINE,C18H39NO2
M+H,300.2905,13.56,SPHINGOSINE (d18:1),
,144.10167,1.02,STACHYDRINE,C7H13NO2
M+Na,689.2111,0.9,STACHYOSE,C24H42O21
,307.1012,8.3,STARCH ACETATE,
M+H,175.0965,9.32,SUBERIC ACID,C8H14O4
M+H-H2O,157.0859,9.32,SUBERIC ACID-H2O,C8H14O4
M+H,119.0339,2.3,SUCCINATE,C4H6O4
M+Na,141.0158,2.3,SUCCINATE+Na,C4H6O4
M+H-H2O,101.0233,2.3,SUCCINATE-H2O,C4H6O4
M+H,262.1285,6.04,SUCCINYLCARNITINE,C11H19NO6
M+Na,284.1105,6.04,SUCCINYLCARNITINE+Na,C11H19NO6
M+H,343.1235,0.88,SUCROSE,C12H22O11
M+Na,365.1054,0.88,SUCROSE+Na,C12H22O11
M+H-H2O,325.1129,0.88,SUCROSE-H2O,C12H22O11
,129.12723,8.989,SULCATOL,C8H16O2
,199.0601,7.3,SYRINGIC ACID,C9H10O5
M+Na,173.0057,0.84,TARTARIC ACID+Na,C4H6O6
M+Na,173.00566,0.915,TARTARIC ACID+Na,C4H6O6
M+H,126.0219,0.71,TAURINE,C2H7NO3S
M+Na,148.0039,0.71,TAURINE+Na,C2H7NO3S
M+H-H2O,108.0114,0.71,TAURINE-H2O,C2H7NO3S
M+H,500.304,10.55,TAUROCHENODEOXYCHOLIC ACID,C26H45NO6S
M+H,500.3023,10.55,TAUROCHENODEOXYCHOLIC ACID,C26H45NO6S
M+K,538.2498,10.55,TAUROCHENODEOXYCHOLIC ACID+K,C26H45NO6S
M+Na,522.286,10.55,TAUROCHENODEOXYCHOLIC ACID+Na,C26H45NO6S
M+NH4,517.3293,10.55,TAUROCHENODEOXYCHOLIC ACID+NH4,C26H45NO6S
M+H-2H2O,464.2813,10.55,TAUROCHENODEOXYCHOLIC ACID-2H2O,C26H45NO6S
Dimer,999.5997,10.55,TAUROCHENODEOXYCHOLIC ACID-dimer,C26H45NO6S
M+H-H2O,482.2935,10.55,TAUROCHENODEOXYCHOLIC ACID-H2O,C26H45NO6S
M+H-H2O,482.2918,10.55,TAUROCHENODEOXYCHOLIC ACID-H2O,C26H45NO6S
M+H,516.299,9.94,TAUROCHOLIC ACID (TCA),C26H45NO7S
M+K,554.2445,9.94,TAUROCHOLIC ACID (TCA)+K,C26H45NO7S
M+Na,538.2809,9.94,TAUROCHOLIC ACID (TCA)+Na,C26H45NO7S
M+NH4,533.3238,9.94,TAUROCHOLIC ACID (TCA)+NH4,C26H45NO7S
M+H-2H2O,480.2769,9.94,TAUROCHOLIC ACID (TCA)-2H2O,C26H45NO7S
M+H-H2O,498.2884,9.94,TAUROCHOLIC ACID (TCA)-H2O,C26H45NO7S
M+H,500.304,9.99,TAURODEOXYCHOLIC ACID,C26H45NO6S
M+H,500.304,10.68,TAURODEOXYCHOLIC ACID (T-DCA),C26H45NO6S
M+K,538.2493,10.68,TAURODEOXYCHOLIC ACID (T-DCA)+K,C26H45NO6S
M+Na,522.286,10.68,TAURODEOXYCHOLIC ACID (T-DCA)+Na,C26H45NO6S
M+NH4,517.3291,10.68,TAURODEOXYCHOLIC ACID (T-DCA)+NH4,C26H45NO6S
M+H-2H2O,464.2816,10.68,TAURODEOXYCHOLIC ACID (T-DCA)-2H2O,C26H45NO6S
M+H-H2O,482.2935,10.68,TAURODEOXYCHOLIC ACID (T-DCA)-H2O,C26H45NO6S
M+Na,522.286,9.99,TAURODEOXYCHOLIC ACID+Na,C26H45NO6S
M+H-H2O,482.2935,9.99,TAURODEOXYCHOLIC ACID-H2O,C26H45NO6S
M+H,484.3091,11.64,TAUROLITHOCHOLATE,C26H45NO5S
M+Na,506.2911,11.64,TAUROLITHOCHOLATE+Na,C26H45NO5S
M+H-H2O,466.2986,11.64,TAUROLITHOCHOLATE-H2O,C26H45NO5S
M+H,484.3091,11.52,TAUROLITHOCHOLIC ACID (T-LCA),C26H45NO5S
M+K,522.2546,11.52,TAUROLITHOCHOLIC ACID (T-LCA)+K,C26H45NO5S
M+Na,506.2911,11.52,TAUROLITHOCHOLIC ACID (T-LCA)+Na,C26H45NO5S
M+NH4,501.3341,11.52,TAUROLITHOCHOLIC ACID (T-LCA)+NH4,C26H45NO5S
M+H-H2O,466.2986,11.52,TAUROLITHOCHOLIC ACID (T-LCA)-H2O,C26H45NO5S
Dimer,967.6097,11.55,TAUROLITHOCHOLIC ACID-dimer,C26H45NO5S
M+H,516.299,9.46,TAUROMURICHOLIC ACID,C26H45NO7S
M+H,516.299,9.52,TAUROMURICHOLIC ACID,C26H45NO7S
M+H-H2O,498.2884,9.46,TAUROMURICHOLIC ACID+H2O,C26H45NO7S
M+Na,538.2809,9.46,TAUROMURICHOLIC ACID+Na,C26H45NO7S
M+Na,538.2809,9.52,TAUROMURICHOLIC ACID+Na,C26H45NO7S
M+H-H2O,498.2884,9.52,TAUROMURICHOLIC ACID-H2O,C26H45NO7S
M+H,500.304,10,TAUROURSODEOXYCHOLIC ACID (T-UDCA),C26H45NO6S
M+K,538.2493,10,TAUROURSODEOXYCHOLIC ACID (T-UDCA)+K,C26H45NO6S
M+Na,522.286,10,TAUROURSODEOXYCHOLIC ACID (T-UDCA)+Na,C26H45NO6S
M+NH4,517.3291,10,TAUROURSODEOXYCHOLIC ACID (T-UDCA)+NH4,C26H45NO6S
M+H-2H2O,464.2816,10,TAUROURSODEOXYCHOLIC ACID (T-UDCA)-2H2O,C26H45NO6S
M+H-H2O,482.2935,10,TAUROURSODEOXYCHOLIC ACID (T-UDCA)-H2O,C26H45NO6S
,305.0644,9.35,TAXIFOLIN,C15H12O7
,357.279,12.4,TETRACOSAHEXAENOIC ACID,C24H36O2
M+H,370.2952,14.27,TETRADECENOYLCARNITINE,C21H39NO4
M+Na,392.2771,14.27,TETRADECENOYLCARNITINE+Na,C21H39NO4
,105.037,2.224,TETRAHYDROTHIOPHENE-1-OXIDE,C4H8OS
,217.17938,12.603,TEXANOL,C12H24O3
M+H,181.072,7.03,THEOBROMINE,C7H8N4O2
M+Na,203.0539,7.03,THEOBROMINE+Na,C7H8N4O2
,181.0716,7.4,THEOPHYLLINE,C7H8N4O2
M-e,265.1118,1.2,THIAMINE,C12H17N4OS
M+H,345.0781,0.9,THIAMINE MONOPHOSPHATE,C12H17N4O4PS
M+Na,367.06,0.9,THIAMINE MONOPHOSPHATE+Na,C12H17N4O4PS
M+H,425.0444,0.85,THIAMINE PYROPHOSPHATE,C12H18N4O7P2S
M+Na,447.0264,0.85,THIAMINE PYROPHOSPHATE+Na,C12H18N4O7P2S
M+H,167.0386,7.92,THIOPURINE S-METHYLETHER,C6H6N4S
M+K,204.9945,7.92,THIOPURINE S-METHYLETHER+K,C6H6N4S
M+Na,189.0205,7.92,THIOPURINE S-METHYLETHER+Na,C6H6N4S
M+H,77.0168,0.87,THIOUREA,CH4N2S
,120.06552,0.759,THREONINE,C4H9NO3
M+H,243.0975,6.59,THYMIDINE,C10H14N2O5
M+H,323.0639,3.38,THYMIDINE 5'-MONOPHOSPHATE,C10H15N2O8P
M+Na,345.0458,3.38,THYMIDINE 5'-MONOPHOSPHATE+Na,C10H15N2O8P
M+Na,265.0795,6.59,THYMIDINE+Na,C10H14N2O5
M+H-H2O,225.087,6.59,THYMIDINE-H2O,C10H14N2O5
M+H,127.0502,3.33,THYMINE,C5H6N2O2
M+Na,149.0321,3.33,THYMINE+Na,C5H6N2O2
M+H-H2O,151.1117,9.498,THYMOL,C10H14O
M+H,363.1775,6.09,THYROTROPIN RELEASING HORMONE,C16H22N6O4
M+Na,385.1595,6.09,THYROTROPIN RELEASING HORMONE+Na,C16H22N6O4
M+H,244.1543,7.94,TIGLYLCARNITINE,C12H21NO4
M+Na,266.1363,7.94,TIGLYLCARNITINE+Na,C12H21NO4
M+H,76.07624,0.86,TMAO,C3H9NO
M+H,132.0655,0.73,TRANS-4-HYDROXYPROLINE,C5H9NO3
M+Na,154.0475,0.73,TRANS-4-HYDROXYPROLINE+Na,C5H9NO3
M+H,175.0237,1.13,TRANS-ACONITATE,C6H6O6
M+H,175.02371,3.22,TRANS-ACONITATE,C6H6O6
M+H,175.0237,2.53,TRANS-ACONITATE,C6H6O6
M+Na,197.00566,1.13,TRANS-ACONITATE+Na,C6H6O7
M+Na,197.0057,3.22,TRANS-ACONITATE+Na,C6H6O6
M+Na,197.0057,2.53,TRANS-ACONITATE+Na,C6H6O7
M+H-H2O,157.0131,1.13,TRANS-ACONITATE-H2O,C6H6O6
M+H-H2O,157.0131,3.22,TRANS-ACONITATE-H2O,C6H6O6
M+H-H2O,157.0131,2.53,TRANS-ACONITATE-H2O,C6H6O6
,133.0648,7.86,TRANS-CINNAMALDEHYDE,C9H8O
M+H,149.0597,10.72,TRANS-CINNAMATE,C9H8O2
M+H-H2O,131.0491,10.72,TRANS-CINNAMATE-H2O,C9H8O2
M+Na,139.073,5.93,"TRANS-CYCLOHEXANE-1,2-DIOL",C6H12O2
,372.1584,9.97,TRAZODONE,C19H22ClN5O
M+Na,365.1054,0.79,TREHALOSE+Na,C12H22O11
M+H-H2O,325.1129,0.79,TREHALOSE-H2O,C12H22O11
,150.11229,0.782,TRIETHANOLAMINE,C6H15NO3
,183.07794,9.294,TRIETHYLPHOSPHATE,C6H15O4P
M+H,138.055,0.94,TRIGONELLINE,C7H7NO2
M+K,176.0108,0.94,TRIGONELLINE+K,C7H7NO2
M+Na,160.0369,0.94,TRIGONELLINE+Na,C7H7NO2
,331.24756,13.886,Trihydroxy octadecenoic acid,C18H34O5
M+H,189.1598,0.7,TRIMETHYLLYSINE,C9H20N2O2
M+H,189.1598,0.83,TRIMETHYLLYSINE,C9H20N2O2
M+K,227.1156,0.7,TRIMETHYLLYSINE+K,C9H20N2O2
M+Na,211.1417,0.7,TRIMETHYLLYSINE+Na,C9H20N2O2
M+H,161.1073,8.17,TRYPTAMINE,C10H12N2
M+H-NH3,144.0808,8.17,TRYPTAMINE-NH3,C10H12N2
M+H,138.0913,4.34,TYRAMINE,C8H11NO
M+H-NH3,121.0648,4.34,TYRAMINE-NH3,C8H11NO
M+H,139.07576,13.991,TYROSOL,C8H10O2
M+H,113.0346,1.42,URACIL,C4H4N2O2
M+Na,135.0165,1.42,URACIL+Na,C4H4N2O2
M+H,169.03562,1.922,URATE,C5H4N4O3
M+H,147.0764,1.95,UREIDOISOBUTRYATE,C5H10N2O3
M+H,245.0768,2.85,URIDINE,C9H12N2O6
M+H,608.0888,1.2,URIDINE 5'-DIPHOSPHO-N-ACETYLGALACTOSAMINE,C17H27N3O17P2
M+Na,630.0708,1.2,URIDINE 5'-DIPHOSPHO-N-ACETYLGLUCOSAMINE,C17H27N3O17P2
M+Na,267.0588,2.85,URIDINE+Na,C9H12N2O6
M+H,325.04314,1.366,URIDINE-5-MONOPHOSPHATE,C9H13N2O9P
M+H,139.0502,1.97,UROCANATE,C6H6N2O2
M+Na,161.0321,1.97,UROCANATE+Na,C6H6N2O2
M+H-H2O,121.0396,1.97,UROCANATE-H2O,C6H6N2O2
M+Na,431.2768,10.39,URSOCHOLIC ACID,C24H40O5
M+H-2H2O,357.2777,11.65,URSODEOXYCHOLIC ACID-2H2O,C24H40O4
M+H-H2O,375.2894,11.65,URSODEOXYCHOLIC ACID-H2O,C24H40O4
M+H-H2O,375.2883,11.65,URSODEOXYCHOLIC ACID-H2O,C24H40O4
M+H,246.17,8.31,VALERYLCARNITINE,C12H23NO4
M+Na,268.1519,8.31,VALERYLCARNITINE+Na,C12H23NO4
,137.0596,4.96,VANILLAMINE,
M+H,153.0546,9,VANILLIN,C8H8O3
M+H,153.0407,2.53,XANTHINE,C5H4N4O2
M+H,285.083,6.51,XANTHOSINE,C10H12N4O6
,365.0493,2.43,XANTHOSINE 5'-MONOPHOSPHATE,C10H13N4O9P
M+Na,307.0649,6.51,XANTHOSINE+Na,C10H12N4O6
M+H,206.0448,7.57,XANTHURENIC ACID,C10H7NO4
M+Na,228.0267,7.57,XANTHURENIC ACID+Na,C10H7NO4
M+H,153.0757,0.74,XYLITOL,C5H12O5
M+Na,175.0577,0.74,XYLITOL+Na,C5H12O5
M+H-H2O,135.0652,0.74,XYLITOL-H2O,C5H12O5